x,Energy
a.u.,kJ/mol
0.012221,18.9858
0.034252,19.1262
0.056282,19.2409
0.078313,19.3509
0.10034,19.4446
0.12237,19.5195
0.1444,19.6038
0.16644,19.6623
0.18847,19.7185
0.2105,19.7629
0.23253,19.7957
0.25456,19.8215
0.27659,19.8472
0.29862,19.8472
0.32065,19.8449
0.34268,19.8051
0.36471,19.7793
0.38674,19.7208
0.40877,19.6389
0.4308,19.5359
0.45283,19.3837
0.47486,19.1801
0.49689,19.0349
0.51792,19.5923
0.53895,20.0696
0.56098,20.3622
0.58301,20.498
0.60504,20.5097
0.62708,20.4207
0.64911,20.2662
0.67114,20.0556
0.69317,19.8004
0.71587,19.5096
0.73723,19.2128
0.75926,18.8992
0.78129,18.5878
0.80332,18.2765
0.82535,17.9792
0.84738,17.6983
0.86941,17.4431
0.89144,17.2114
0.91347,17.0171
0.9355,16.8555
0.95753,16.7361
0.97957,16.6683
0.99519,16.6336
