x,Energy
a.u.,kJ/mol
0.0071158,0.622734
0.012455,1.07895
0.018909,1.56237
0.025055,2.05559
0.031035,2.49575
0.037014,2.89611
0.042807,3.31052
0.051012,3.75323
0.059438,4.22674
0.067864,4.6608
0.075135,5.10237
0.084852,5.52068
0.096064,5.96552
0.10952,6.42722
0.12632,6.92495
0.14315,7.37497
0.1596,7.70871
0.18499,8.14438
0.20594,8.39662
0.22238,8.53624
0.23883,8.65714
0.25527,8.74057
0.27172,8.79506
0.28816,8.83422
0.30461,8.83593
0.32105,8.82401
0.33749,8.78655
0.35394,8.74738
0.37224,8.6831
0.38832,8.61457
0.40476,8.50389
0.42121,8.41024
0.43765,8.30126
0.4541,8.18548
0.47054,8.06799
0.48699,7.94028
0.50343,7.81087
0.51987,7.67465
0.53632,7.53673
0.5582,7.34987
0.56098,8.2272
0.56406,8.89836
0.55837,7.73058
0.56696,9.46339
0.57027,9.92228
0.57388,10.3859
0.57818,10.8796
0.5821,11.3668
0.5864,11.8733
0.59088,12.2979
0.59537,12.6975
0.6006,13.1368
0.60594,13.588
0.61239,14.0284
0.61854,14.4831
0.62452,14.8811
0.63125,15.311
0.63872,15.7567
0.64619,16.1875
0.65387,16.6124
0.66139,17.0398
0.67074,17.5392
0.67983,17.9816
0.68955,18.4102
0.69926,18.8138
0.70973,19.2232
0.72094,19.6386
0.73365,20.0761
0.7471,20.5111
0.7613,20.9281
0.77625,21.344
0.79195,21.7274
0.80839,22.0969
0.82484,22.4289
0.84128,22.7252
0.85773,22.9755
0.87148,23.1775
0.89061,23.4114
0.90706,23.5902
0.9235,23.7298
0.93995,23.8456
0.95639,23.9325
0.97284,23.9938
0.98554,24.0044
