x,Energy
a.u.,kJ/mol
0.013421,11.7537
0.030078,12.1525
0.046735,12.5598
0.063392,12.9415
0.080049,13.3028
0.096707,13.6607
0.11336,13.9896
0.13002,14.2929
0.14668,14.5894
0.16334,14.8621
0.17999,15.1126
0.19665,15.3444
0.21331,15.5557
0.22996,15.7466
0.24662,15.9119
0.26328,16.0635
0.27994,16.1931
0.29659,16.297
0.31325,16.3822
0.32991,16.4419
0.34656,16.4777
0.36322,16.5015
0.37988,16.4913
0.39654,16.4555
0.41319,16.4027
0.42985,16.3243
0.44651,16.2271
0.46317,16.101
0.47982,15.9545
0.49648,15.7806
0.51314,15.5813
0.52979,15.3631
0.54645,15.1194
0.56311,14.8485
0.57977,14.5519
0.59642,14.235
0.61308,13.8924
0.62974,13.5294
0.64639,13.1358
0.66229,12.7411
0.67744,12.3399
0.69182,11.9421
0.70545,11.5505
0.71908,11.1464
0.73271,10.7278
0.74558,10.313
0.7577,9.90998
0.76981,9.50225
0.78192,9.08047
0.79404,8.64228
0.8054,8.23188
0.81675,7.80106
0.82811,7.36421
0.83871,6.95448
0.84931,6.52868
0.85991,6.1002
0.86975,5.70386
0.87884,5.31644
0.88868,4.89511
0.89852,4.47913
0.90761,4.08234
0.9167,3.68242
0.92578,3.28564
0.93487,2.87322
0.94395,2.45769
0.95304,2.0484
0.96094,1.6601
0.96894,1.24649
0.9803,0.717443
0.99255,0.165515
