x,Energy
a.u.,kJ/mol
0.086529,35.2559
0.1029,35.1297
0.11927,34.9831
0.13564,34.8365
0.15201,34.6898
0.16838,34.5295
0.18475,34.3658
0.20112,34.1987
0.21749,34.0248
0.23386,33.8372
0.25023,33.6462
0.2666,33.4518
0.28297,33.2438
0.29934,33.029
0.31571,32.8039
0.33208,32.5686
0.34845,32.3264
0.36481,32.0741
0.38118,31.8012
0.39755,31.525
0.41392,31.2385
0.43029,30.9384
0.44666,30.6178
0.46303,30.2836
0.4794,29.9392
0.49577,29.5777
0.51214,29.1923
0.52851,28.7967
0.54488,28.3738
0.56125,27.9543
0.57762,27.4974
0.59399,27.0267
0.61036,26.5288
0.62673,26.0138
0.6431,25.475
0.65947,24.9191
0.67584,24.3359
0.69221,23.7357
0.70858,23.1048
0.72495,22.45
0.74132,21.785
0.75769,21.0927
0.77406,20.3697
0.79043,19.6296
0.8068,18.876
0.82317,18.095
0.83954,17.2833
0.85591,16.458
0.87228,15.6327
0.88865,14.8074
0.90278,14.0712
