x,Energy
a.u.,kJ/mol
0.046688,5.01973
0.063036,5.12026
0.079384,5.25828
0.095733,5.45763
0.11208,5.71492
0.12843,6.02674
0.14478,6.39649
0.16038,6.7981
0.1745,7.20982
0.18713,7.61201
0.19902,8.01264
0.21017,8.41561
0.22132,8.82796
0.23246,9.25637
0.24212,9.64953
0.25178,10.0516
0.26219,10.464
0.27259,10.8897
0.28299,11.302
0.2934,11.7465
0.3038,12.1562
0.31495,12.5836
0.32609,13.013
0.33724,13.4317
0.34913,13.844
0.36102,14.2447
0.37365,14.6383
0.38703,15.059
0.40115,15.4611
0.41601,15.8472
0.43161,16.228
0.44796,16.5893
0.46431,16.8943
0.48066,17.1873
0.49701,17.4412
0.51335,17.6644
0.5297,17.8501
0.54605,18.012
0.5624,18.1534
0.57875,18.2625
0.5951,18.3477
0.61144,18.409
0.62779,18.4431
0.64414,18.4789
0.66049,18.4789
0.67684,18.4431
0.69318,18.4141
0.70953,18.3579
0.72588,18.2897
0.74223,18.2011
0.75858,18.1023
0.77493,17.995
0.79127,17.8672
0.80762,17.7309
0.82397,17.5741
0.84032,17.4054
0.85667,17.2316
0.87301,17.0408
0.88936,16.8602
0.90571,16.6472
0.92206,16.4308
0.93841,16.2161
0.95253,16.0253
