Bragg_angle,Intensity
\circ,a.u.
5,566
5.05,571
5.1,641
5.15,604
5.2,629
5.25,604
5.3,625
5.35,598
5.4,567
5.45,565
5.5,526
5.55,540
5.6,554
5.65,574
5.7,550
5.75,543
5.8,513
5.85,494
5.9,503
5.95,533
6,486
6.05,533
6.1,496
6.15,501
6.2,526
6.25,494
6.3,469
6.35,511
6.4,494
6.45,517
6.5,491
6.55,468
6.6,512
6.65,494
6.7,498
6.75,504
6.8,469
6.85,465
6.9,480
6.95,525
7,481
7.05,487
7.1,526
7.15,537
7.2,544
7.25,560
7.3,520
7.35,508
7.4,538
7.45,509
7.5,515
7.55,526
7.6,529
7.65,541
7.7,500
7.75,481
7.8,512
7.85,481
7.9,495
7.95,507
8,499
8.05,503
8.1,517
8.15,501
8.2,497
8.25,464
8.3,473
8.35,471
8.4,499
8.45,504
8.5,503
8.55,494
8.6,523
8.65,491
8.7,510
8.75,515
8.8,478
8.85,535
8.9,527
8.95,534
9,535
9.05,495
9.1,554
9.15,513
9.2,526
9.25,522
9.3,536
9.35,584
9.4,530
9.45,574
9.5,585
9.55,562
9.6,558
9.65,566
9.7,533
9.75,533
9.8,552
9.85,575
9.9,520
9.95,562
10,555
10.05,514
10.1,543
10.15,512
10.2,557
10.25,540
10.3,510
10.35,526
10.4,563
10.45,513
10.5,527
10.55,497
10.6,510
10.65,527
10.7,493
10.75,553
10.8,504
10.85,491
10.9,554
10.95,500
11,512
11.05,527
11.1,511
11.15,484
11.2,540
11.25,499
11.3,472
11.35,489
11.4,507
11.45,503
11.5,511
11.55,500
11.6,501
11.65,493
11.7,524
11.75,480
11.8,482
11.85,508
11.9,523
11.95,527
12,516
12.05,480
12.1,515
12.15,520
12.2,477
12.25,494
12.3,508
12.35,491
12.4,535
12.45,499
12.5,506
12.55,540
12.6,490
12.65,478
12.7,528
12.75,515
12.8,465
12.85,461
12.9,485
12.95,458
13,453
13.05,454
13.1,480
13.15,455
13.2,463
13.25,466
13.3,468
13.35,484
13.4,432
13.45,445
13.5,447
13.55,448
13.6,457
13.65,427
13.7,519
13.75,443
13.8,433
13.85,427
13.9,443
13.95,437
14,432
14.05,419
14.1,493
14.15,457
14.2,423
14.25,445
14.3,460
14.35,418
14.4,442
14.45,456
14.5,440
14.55,438
14.6,428
14.65,447
14.7,416
14.75,437
14.8,417
14.85,415
14.9,418
14.95,414
15,434
15.05,388
15.1,438
15.15,402
15.2,450
15.25,400
15.3,373
15.35,389
15.4,419
15.45,439
15.5,374
15.55,410
15.6,410
15.65,414
15.7,389
15.75,381
15.8,413
15.85,388
15.9,397
15.95,389
16,399
16.05,381
16.1,336
16.15,399
16.2,380
16.25,381
16.3,367
16.35,381
16.4,377
16.45,351
16.5,368
16.55,401
16.6,354
16.65,385
16.7,374
16.75,399
16.8,403
16.85,375
16.9,388
16.95,378
17,385
17.05,390
17.1,375
17.15,347
17.2,392
17.25,342
17.3,355
17.35,350
17.4,363
17.45,347
17.5,414
17.55,349
17.6,344
17.65,367
17.7,362
17.75,364
17.8,380
17.85,360
17.9,330
17.95,356
18,330
18.05,379
18.1,330
18.15,346
18.2,383
18.25,350
18.3,370
18.35,342
18.4,337
18.45,342
18.5,362
18.55,337
18.6,372
18.65,335
18.7,349
18.75,300
18.8,388
18.85,363
18.9,346
18.95,367
19,379
19.05,389
19.1,380
19.15,399
19.2,424
19.25,479
19.3,564
19.35,773
19.4,1224
19.45,1208
19.5,811
19.55,493
19.6,442
19.65,419
19.7,427
19.75,500
19.8,509
19.85,598
19.9,807
19.95,877
20,610
20.05,387
20.1,366
20.15,382
20.2,329
20.25,318
20.3,376
20.35,369
20.4,330
20.45,373
20.5,350
20.55,329
20.6,321
20.65,344
20.7,337
20.75,332
20.8,322
20.85,318
20.9,285
20.95,333
21,299
21.05,342
21.1,312
21.15,324
21.2,295
21.25,350
21.3,333
21.35,323
21.4,378
21.45,353
21.5,386
21.55,417
21.6,405
21.65,301
21.7,328
21.75,341
21.8,304
21.85,381
21.9,379
21.95,317
22,346
22.05,369
22.1,314
22.15,314
22.2,322
22.25,303
22.3,286
22.35,298
22.4,287
22.45,364
22.5,276
22.55,318
22.6,325
22.65,342
22.7,358
22.75,341
22.8,341
22.85,325
22.9,321
22.95,323
23,336
23.05,326
23.1,330
23.15,352
23.2,347
23.25,361
23.3,363
23.35,394
23.4,410
23.45,454
23.5,499
23.55,581
23.6,681
23.65,944
23.7,1493
23.75,2308
23.8,3785
23.85,5770
23.9,6936
23.95,4658
24,2440
24.05,1477
24.1,1468
24.15,1765
24.2,2756
24.25,4500
24.3,4730
24.35,3396
24.4,1497
24.45,732
24.5,498
24.55,420
24.6,433
24.65,382
24.7,381
24.75,366
