Bragg_angle,Intensity
\circ,a.u.
5,8045
5.05,7870
5.1,7795
5.15,7726
5.2,7734
5.25,7605
5.3,7532
5.35,7444
5.4,7437
5.45,7303
5.5,7172
5.55,7174
5.6,6957
5.65,7057
5.7,7052
5.75,7020
5.8,6967
5.85,6882
5.9,6769
5.95,6621
6,6710
6.05,6545
6.1,6667
6.15,6534
6.2,6665
6.25,6540
6.3,6524
6.35,6413
6.4,6318
6.45,6440
6.5,6447
6.55,6171
6.6,6239
6.65,6196
6.7,6077
6.75,6158
6.8,6027
6.85,6014
6.9,6114
6.95,6050
7,5868
7.05,5807
7.1,5881
7.15,5858
7.2,5891
7.25,5686
7.3,5672
7.35,5645
7.4,5649
7.45,5713
7.5,5600
7.55,5592
7.6,5428
7.65,5440
7.7,5480
7.75,5413
7.8,5430
7.85,5298
7.9,5488
7.95,5356
8,5276
8.05,5232
8.1,5315
8.15,5292
8.2,5127
8.25,5294
8.3,5319
8.35,5061
8.4,5139
8.45,5085
8.5,5176
8.55,4992
8.6,5062
8.65,5025
8.7,4948
8.75,5015
8.8,4874
8.85,4946
8.9,4923
8.95,5038
9,4975
9.05,4812
9.1,4810
9.15,4857
9.2,4843
9.25,4841
9.3,4824
9.35,4801
9.4,4545
9.45,4653
9.5,4841
9.55,4658
9.6,4800
9.65,4656
9.7,4722
9.75,4677
9.8,4665
9.85,4697
9.9,4678
9.95,4652
10,4557
10.05,4613
10.1,4616
10.15,4608
10.2,4572
10.25,4552
10.3,4561
10.35,4434
10.4,4563
10.45,4406
10.5,4556
10.55,4565
10.6,4420
10.65,4463
10.7,4389
10.75,4282
10.8,4363
10.85,4487
10.9,4372
10.95,4393
11,4425
11.05,4324
11.1,4413
11.15,4299
11.2,4244
11.25,4369
11.3,4337
11.35,4193
11.4,4248
11.45,4194
11.5,4366
11.55,4321
11.6,4238
11.65,4303
11.7,4158
11.75,4199
11.8,4249
11.85,4168
11.9,4195
11.95,3993
12,4171
12.05,4138
12.1,4082
12.15,4122
12.2,4087
12.25,4106
12.3,4032
12.35,3861
12.4,3855
12.45,3956
12.5,3880
12.55,3860
12.6,3877
12.65,3947
12.7,3898
12.75,3973
12.8,3798
12.85,3915
12.9,3724
12.95,3846
13,3712
13.05,3654
13.1,3642
13.15,3674
13.2,3734
13.25,3573
13.3,3587
13.35,3580
13.4,3632
13.45,3645
13.5,3558
13.55,3618
13.6,3564
13.65,3523
13.7,3530
13.75,3511
13.8,3408
13.85,3379
13.9,3499
13.95,3369
14,3505
14.05,3344
14.1,3401
14.15,3335
14.2,3315
14.25,3367
14.3,3327
14.35,3337
14.4,3333
14.45,3217
14.5,3276
14.55,3277
14.6,3104
14.65,3276
14.7,3182
14.75,3108
14.8,3182
14.85,3226
14.9,3187
14.95,3171
15,3082
15.05,3067
15.1,3154
15.15,3045
15.2,3118
15.25,3056
15.3,2918
15.35,3052
15.4,2925
15.45,2866
15.5,3014
15.55,2932
15.6,2861
15.65,2846
15.7,2855
15.75,2945
15.8,2921
15.85,2929
15.9,2864
15.95,2802
16,2705
16.05,2977
16.1,2799
16.15,2792
16.2,2809
16.25,2819
16.3,2725
16.35,2849
16.4,2781
16.45,2833
16.5,2706
16.55,2716
16.6,2635
16.65,2720
16.7,2761
16.75,2597
16.8,2687
16.85,2645
16.9,2631
16.95,2700
17,2558
17.05,2698
17.1,2561
17.15,2641
17.2,2536
17.25,2597
17.3,2482
17.35,2592
17.4,2503
17.45,2406
17.5,2539
17.55,2485
17.6,2551
17.65,2349
17.7,2482
17.75,2415
17.8,2414
17.85,2387
17.9,2481
17.95,2428
18,2434
18.05,2336
18.1,2380
18.15,2372
18.2,2369
18.25,2435
18.3,2355
18.35,2339
18.4,2346
18.45,2358
18.5,2344
18.55,2360
18.6,2287
18.65,2368
18.7,2339
18.75,2233
18.8,2297
18.85,2296
18.9,2331
18.95,2350
19,2249
19.05,2244
19.1,2353
19.15,2314
19.2,2362
19.25,2383
19.3,2437
