Bragg_angle,Intensity
\circ,a.u.
10,348
10.03,315
10.06,300
10.09,297
10.12,295
10.15,290
10.18,297
10.21,266
10.24,288
10.27,259
10.3,288
10.33,251
10.36,272
10.39,253
10.42,262
10.45,272
10.48,218
10.51,229
10.54,204
10.57,182
10.6,164
10.63,146
10.66,167
10.69,163
10.72,153
10.75,145
10.78,155
10.81,141
10.84,160
10.87,153
10.9,153
10.93,146
10.96,141
10.99,150
11.02,142
11.05,136
11.08,143
11.11,149
11.14,157
11.17,148
11.2,145
11.23,136
11.26,141
11.29,153
11.32,170
11.35,122
11.38,166
11.41,148
11.44,142
11.47,154
11.5,147
11.53,146
11.56,155
11.59,140
11.62,154
11.65,146
11.68,146
11.71,145
11.74,132
11.77,155
11.8,131
11.83,151
11.86,151
11.89,129
11.92,152
11.95,150
11.98,143
12.01,149
12.04,163
12.07,162
12.1,126
12.13,147
12.16,148
12.19,145
12.22,149
12.25,153
12.28,146
12.31,178
12.34,161
12.37,137
12.4,134
12.43,154
12.46,131
12.49,174
12.52,161
12.55,144
12.58,120
12.61,146
12.64,161
12.67,162
12.7,175
12.73,143
12.76,164
12.79,140
12.82,151
12.85,158
12.88,151
12.91,148
12.94,168
12.97,147
13,146
13.03,178
13.06,153
13.09,131
13.12,139
13.15,145
13.18,141
13.21,139
13.24,147
13.27,163
13.3,179
13.33,150
13.36,183
13.39,164
13.42,156
13.45,148
13.48,151
13.51,152
13.54,152
13.57,124
13.6,161
13.63,146
13.66,152
13.69,150
13.72,133
13.75,119
13.78,141
13.81,138
13.84,156
13.87,176
13.9,138
13.93,129
13.96,130
13.99,143
14.02,158
14.05,146
14.08,143
14.11,177
14.14,158
14.17,152
14.2,162
14.23,131
14.26,158
14.29,143
14.32,135
14.35,138
14.38,170
14.41,184
14.44,169
14.47,160
14.5,156
14.53,167
14.56,171
14.59,147
14.62,128
14.65,137
14.68,126
14.71,140
14.74,128
14.77,171
14.8,149
14.83,143
14.86,134
14.89,169
14.92,138
14.95,138
14.98,154
15.01,126
15.04,153
15.07,141
15.1,146
15.13,140
15.16,173
15.19,150
15.22,154
15.25,145
15.28,151
15.31,157
15.34,160
15.37,145
15.4,164
15.43,130
15.46,150
15.49,140
15.52,165
15.55,138
15.58,151
15.61,136
15.64,138
15.67,159
15.7,140
15.73,164
15.76,166
15.79,127
15.82,138
15.85,162
15.88,146
15.91,146
15.94,155
15.97,130
16,172
16.03,134
16.06,143
16.09,143
16.12,146
16.15,168
16.18,152
16.21,160
16.24,164
16.27,120
16.3,146
16.33,162
16.36,133
16.39,142
16.42,159
16.45,147
16.48,134
16.51,144
16.54,131
16.57,158
16.6,148
16.63,172
16.66,136
16.69,144
16.72,146
16.75,149
16.78,136
16.81,138
16.84,135
16.87,134
16.9,148
16.93,131
16.96,152
16.99,158
17.02,147
17.05,124
17.08,141
17.11,160
17.14,129
17.17,140
17.2,146
17.23,109
17.26,143
17.29,137
17.32,153
17.35,148
17.38,130
17.41,147
17.44,128
17.47,157
17.5,151
17.53,122
17.56,142
17.59,147
17.62,127
17.65,119
17.68,141
17.71,141
17.74,150
17.77,147
17.8,138
17.83,144
17.86,164
17.89,133
17.92,151
17.95,135
17.98,158
18.01,145
18.04,119
18.07,124
18.1,152
18.13,136
18.16,133
18.19,129
18.22,142
18.25,139
18.28,139
18.31,142
18.34,129
18.37,136
18.4,122
18.43,159
18.46,127
18.49,146
18.52,140
18.55,114
18.58,138
18.61,136
18.64,122
18.67,131
18.7,129
18.73,137
18.76,132
18.79,120
18.82,144
18.85,127
18.88,135
18.91,124
18.94,146
18.97,156
19,133
19.03,143
19.06,138
19.09,124
19.12,135
19.15,136
19.18,125
19.21,151
19.24,132
19.27,126
19.3,145
19.33,124
19.36,141
19.39,122
19.42,136
19.45,136
19.48,126
19.51,139
19.54,138
19.57,145
19.6,133
19.63,133
19.66,146
19.69,123
19.72,145
19.75,119
19.78,130
19.81,132
19.84,138
19.87,134
19.9,148
19.93,145
19.96,134
19.99,160
20.02,141
20.05,131
20.08,143
20.11,139
20.14,167
20.17,146
20.2,134
20.23,145
20.26,159
20.29,142
20.32,133
20.35,153
20.38,165
20.41,146
20.44,139
20.47,139
20.5,151
20.53,149
20.56,136
20.59,136
20.62,131
20.65,143
20.68,158
20.71,122
20.74,123
20.77,131
20.8,154
20.83,130
20.86,172
20.89,143
20.92,141
20.95,158
20.98,154
21.01,149
21.04,163
21.07,153
21.1,146
21.13,142
21.16,146
21.19,150
21.22,126
21.25,138
21.28,145
21.31,132
21.34,144
21.37,155
21.4,152
21.43,136
21.46,150
21.49,136
21.52,153
21.55,164
21.58,151
21.61,160
21.64,177
21.67,151
21.7,168
21.73,171
21.76,187
21.79,204
21.82,178
21.85,190
21.88,205
21.91,199
21.94,223
21.97,229
22,255
22.03,276
22.06,287
22.09,332
22.12,369
22.15,391
22.18,414
22.21,441
22.24,551
22.27,580
22.3,660
22.33,741
22.36,794
22.39,842
22.42,925
22.45,1024
22.48,934
22.51,905
22.54,870
22.57,777
22.6,728
22.63,591
22.66,543
22.69,465
22.72,380
22.75,384
22.78,300
22.81,259
22.84,258
22.87,252
22.9,225
22.93,200
22.96,189
22.99,181
23.02,185
23.05,168
23.08,171
23.11,156
23.14,151
23.17,141
23.2,149
23.23,178
23.26,150
23.29,143
23.32,161
23.35,146
23.38,151
23.41,143
23.44,145
23.47,149
23.5,152
23.53,132
23.56,133
23.59,161
23.62,153
23.65,137
23.68,144
23.71,144
23.74,116
23.77,139
23.8,151
23.83,145
23.86,140
23.89,139
23.92,132
23.95,133
23.98,120
24.01,107
24.04,123
24.07,102
24.1,146
24.13,147
24.16,128
24.19,116
24.22,136
24.25,127
24.28,140
24.31,122
24.34,129
24.37,149
24.4,102
24.43,131
24.46,138
24.49,108
24.52,141
24.55,121
24.58,127
24.61,126
24.64,134
24.67,142
24.7,125
24.73,137
24.76,153
24.79,114
24.82,145
24.85,136
24.88,134
24.91,114
24.94,121
24.97,136
25,134
25.03,127
25.06,119
25.09,111
25.12,113
25.15,131
25.18,121
25.21,136
25.24,128
25.27,132
25.3,138
25.33,116
25.36,134
25.39,131
25.42,134
25.45,129
25.48,149
25.51,146
25.54,142
25.57,136
25.6,155
25.63,174
25.66,153
25.69,129
25.72,146
25.75,142
