t_event, cens, freq
h, , 
5.3333,0,1
5.4167,0,1
5.9167,0,2
6,0,2
6.25,0,1
7,0,1
7.1667,0,1
7.25,0,2
7.3333,0,2
7.4167,0,1
7.5,0,1
7.5833,0,1
7.6667,0,4
7.75,0,3
7.8333,0,1
7.9167,0,5
8,0,2
8.0833,0,2
8.3333,0,1
8.4167,0,1
8.5,0,2
8.5833,0,3
8.6667,0,1
8.75,0,3
8.8333,0,1
8.9167,0,1
9,0,2
9.1667,0,5
9.25,0,3
9.5,0,1
9.5833,0,2
9.8333,0,2
10,0,1
10.25,0,2
10.333,0,1
10.417,0,1
10.5,0,1
10.667,0,1
10.75,0,1
10.833,0,3
10.917,0,1
11.417,0,1
11.667,0,2
11.75,0,3
11.833,0,1
11.917,0,2
12,0,1
12.083,0,1
12.25,0,2
12.333,0,1
12.5,0,1
12.583,0,2
12.833,0,1
13.083,0,2
13.25,0,1
13.75,0,3
13.833,0,3
13.917,0,3
14,0,1
14.083,0,1
14.333,0,1
14.417,0,1
14.5,0,1
15,0,1
15.083,0,3
15.417,0,2
15.667,0,2
15.917,0,1
16,0,2
16.083,0,1
16.333,0,1
16.583,0,1
16.667,0,1
16.75,0,2
16.917,0,2
17,0,1
17.25,0,1
17.417,0,1
17.667,0,1
17.833,0,1
18.083,0,1
18.583,0,1
18.667,0,1
18.833,0,2
19.333,0,1
19.417,0,2
20.083,0,1
20.333,0,1
20.417,0,2
20.583,0,1
20.917,0,1
21,0,1
21.417,0,1
21.75,0,2
22.167,0,2
22.25,0,1
22.75,0,2
23,0,1
23.167,0,2
23.417,0,1
23.667,0,1
23.833,0,2
24,0,1
24.083,0,1
24.333,0,1
24.5,0,2
24.583,0,1
24.75,0,2
24.833,0,1
24.917,0,1
25,0,2
25.083,0,4
25.167,0,1
25.5,0,1
25.583,0,1
25.833,0,1
26.25,0,1
27.667,0,1
28,0,1
28.917,0,2
29,0,1
29.083,0,1
29.5,0,1
29.583,0,1
29.667,0,1
29.917,0,1
30.083,0,1
30.417,0,1
30.667,0,1
30.833,0,1
32.833,0,1
33.25,0,1
36.417,0,1
37.5,0,1
37.583,0,1
37.917,0,1
39.667,0,1
41.667,0,1
42.083,0,1
42.083,1,79
