Bragg_angle,Intensity
\circ,a.u.
5,241
5.03,228
5.06,240
5.09,239
5.12,253
5.15,249
5.18,232
5.21,228
5.24,235
5.27,242
5.3,205
5.33,234
5.36,202
5.39,246
5.42,228
5.45,219
5.48,242
5.51,230
5.54,238
5.57,226
5.6,242
5.63,194
5.66,215
5.69,197
5.72,207
5.75,220
5.78,218
5.81,197
5.84,219
5.87,186
5.9,235
5.93,227
5.96,205
5.99,222
6.02,226
6.05,216
6.08,222
6.11,230
6.14,236
6.17,211
6.2,249
6.23,239
6.26,256
6.29,228
6.32,223
6.35,236
6.38,250
6.41,275
6.44,260
6.47,245
6.5,219
6.53,230
6.56,275
6.59,211
6.62,248
6.65,255
6.68,201
6.71,219
6.74,222
6.77,228
6.8,217
6.83,236
6.86,232
6.89,184
6.92,223
6.95,190
6.98,190
7.01,170
7.04,181
7.07,182
7.1,178
7.13,187
7.16,188
7.19,199
7.22,189
7.25,174
7.28,179
7.31,202
7.34,172
7.37,186
7.4,182
7.43,184
7.46,185
7.49,178
7.52,177
7.55,205
7.58,186
7.61,191
7.64,163
7.67,195
7.7,218
7.73,174
7.76,188
7.79,203
7.82,180
7.85,152
7.88,193
7.91,203
7.94,195
7.97,161
8,217
8.03,187
8.06,204
8.09,173
8.12,186
8.15,190
8.18,194
8.21,166
8.24,200
8.27,211
8.3,178
8.33,200
8.36,169
8.39,193
8.42,201
8.45,195
8.48,228
8.51,182
8.54,188
8.57,212
8.6,219
8.63,231
8.66,212
8.69,213
8.72,204
8.75,224
8.78,236
8.81,253
8.84,266
8.87,259
8.9,268
8.93,252
8.96,286
8.99,301
9.02,280
9.05,283
9.08,308
9.11,300
9.14,306
9.17,348
9.2,346
9.23,348
9.26,332
9.29,346
9.32,341
9.35,359
9.38,351
9.41,358
9.44,363
9.47,384
9.5,372
9.53,364
9.56,369
9.59,352
9.62,352
9.65,408
9.68,398
9.71,376
9.74,361
9.77,364
9.8,379
9.83,408
9.86,357
9.89,389
9.92,372
9.95,409
9.98,360
10.01,360
10.04,374
10.07,360
10.1,323
10.13,321
10.16,333
10.19,305
10.22,323
10.25,325
10.28,303
10.31,333
10.34,271
10.37,288
10.4,249
10.43,271
10.46,252
10.49,230
10.52,239
10.55,195
10.58,170
10.61,193
10.64,171
10.67,140
10.7,163
10.73,137
10.76,175
10.79,165
10.82,166
10.85,155
10.88,162
10.91,162
10.94,153
10.97,170
11,173
11.03,167
11.06,160
11.09,148
11.12,143
11.15,139
11.18,138
11.21,173
11.24,191
11.27,139
11.3,149
11.33,140
11.36,130
11.39,126
11.42,143
11.45,115
11.48,124
11.51,144
11.54,125
11.57,140
11.6,129
11.63,156
11.66,132
11.69,118
11.72,136
11.75,138
11.78,139
11.81,130
11.84,150
11.87,142
11.9,133
11.93,152
11.96,143
11.99,132
12.02,124
12.05,146
12.08,148
12.11,153
12.14,147
12.17,131
12.2,148
12.23,117
12.26,145
12.29,142
12.32,126
12.35,151
12.38,140
12.41,153
12.44,136
12.47,126
12.5,127
12.53,127
12.56,140
12.59,128
12.62,166
12.65,135
12.68,133
12.71,128
12.74,112
12.77,152
12.8,149
12.83,130
12.86,130
12.89,138
12.92,146
12.95,129
12.98,137
13.01,155
13.04,122
13.07,128
13.1,125
13.13,144
13.16,115
13.19,153
13.22,111
13.25,128
13.28,118
13.31,125
13.34,131
13.37,119
13.4,132
13.43,123
13.46,121
13.49,116
13.52,117
13.55,99
13.58,124
13.61,132
13.64,136
13.67,125
13.7,144
13.73,127
13.76,129
13.79,128
13.82,136
13.85,145
13.88,143
13.91,122
13.94,130
13.97,121
14,131
14.03,128
14.06,130
14.09,122
14.12,126
14.15,97
14.18,128
14.21,110
14.24,119
14.27,145
14.3,148
14.33,109
14.36,123
14.39,107
14.42,130
14.45,110
14.48,122
14.51,132
14.54,122
14.57,124
14.6,116
14.63,101
14.66,121
14.69,113
14.72,133
14.75,107
14.78,134
14.81,120
14.84,136
14.87,138
14.9,111
14.93,121
14.96,118
14.99,100
15.02,128
15.05,136
15.08,131
15.11,117
15.14,104
15.17,137
15.2,104
15.23,107
15.26,133
15.29,112
15.32,105
15.35,107
15.38,122
15.41,119
15.44,118
15.47,111
15.5,121
15.53,127
15.56,105
15.59,92
15.62,128
15.65,123
15.68,123
15.71,120
15.74,118
15.77,122
15.8,95
15.83,122
15.86,120
15.89,103
15.92,134
15.95,107
15.98,118
16.01,108
16.04,111
16.07,91
16.1,107
16.13,127
16.16,121
16.19,108
16.22,118
16.25,118
16.28,134
16.31,117
16.34,117
16.37,96
16.4,114
16.43,123
16.46,93
16.49,122
16.52,111
16.55,100
16.58,97
16.61,97
16.64,122
16.67,116
16.7,103
16.73,104
16.76,110
16.79,109
16.82,124
16.85,95
16.88,109
16.91,100
16.94,108
16.97,105
17,104
17.03,108
17.06,103
17.09,104
17.12,109
17.15,83
17.18,97
17.21,91
17.24,101
17.27,101
17.3,97
17.33,89
17.36,119
17.39,92
17.42,92
17.45,89
17.48,91
17.51,101
17.54,92
17.57,97
17.6,104
17.63,88
17.66,88
17.69,88
17.72,82
17.75,87
17.78,97
17.81,93
17.84,101
17.87,109
17.9,94
17.93,75
17.96,92
17.99,89
18.02,107
18.05,98
18.08,96
18.11,85
18.14,98
18.17,102
18.2,82
18.23,90
18.26,88
18.29,85
18.32,97
18.35,99
18.38,94
18.41,109
18.44,88
18.47,92
18.5,89
18.53,115
18.56,88
18.59,88
18.62,79
18.65,85
18.68,88
18.71,92
18.74,81
18.77,98
18.8,79
18.83,89
18.86,78
18.89,89
18.92,99
18.95,77
18.98,105
19.01,85
19.04,80
19.07,89
19.1,83
19.13,83
19.16,81
19.19,105
19.22,69
19.25,88
19.28,85
19.31,100
19.34,89
19.37,101
19.4,102
19.43,112
19.46,115
19.49,129
19.52,132
19.55,116
19.58,124
19.61,121
19.64,110
19.67,86
19.7,102
19.73,90
19.76,100
19.79,105
19.82,109
19.85,110
19.88,99
19.91,85
19.94,92
19.97,100
20,85
20.03,105
20.06,92
20.09,83
20.12,82
20.15,77
20.18,77
20.21,78
20.24,88
20.27,77
20.3,77
20.33,84
20.36,87
20.39,79
20.42,71
20.45,66
20.48,78
20.51,65
20.54,80
20.57,77
20.6,75
20.63,97
20.66,70
20.69,86
20.72,58
20.75,72
20.78,83
20.81,80
20.84,93
20.87,67
20.9,70
20.93,91
20.96,82
20.99,70
21.02,68
21.05,63
21.08,65
21.11,67
21.14,75
21.17,73
21.2,104
21.23,71
21.26,70
21.29,80
21.32,85
21.35,69
21.38,75
21.41,71
21.44,77
21.47,73
21.5,86
21.53,86
21.56,69
21.59,77
21.62,77
21.65,93
21.68,66
21.71,72
21.74,70
21.77,61
21.8,64
21.83,91
21.86,71
21.89,85
21.92,70
21.95,75
21.98,74
22.01,66
22.04,70
22.07,72
22.1,60
22.13,59
22.16,72
22.19,60
22.22,57
22.25,63
22.28,70
22.31,65
22.34,53
22.37,75
22.4,64
22.43,80
22.46,81
22.49,68
22.52,74
22.55,67
22.58,68
22.61,56
22.64,70
22.67,60
22.7,89
22.73,83
22.76,75
22.79,81
22.82,83
22.85,92
22.88,108
22.91,153
22.94,157
22.97,222
23,276
23.03,340
23.06,580
23.09,902
23.12,888
23.15,822
23.18,523
23.21,290
23.24,141
23.27,108
23.3,85
23.33,89
23.36,70
23.39,84
23.42,80
23.45,97
23.48,87
23.51,76
23.54,80
23.57,79
23.6,101
23.63,93
23.66,96
23.69,123
23.72,122
23.75,155
23.78,175
23.81,207
23.84,286
23.87,359
23.9,484
23.93,683
23.96,812
23.99,803
24.02,659
24.05,550
24.08,423
24.11,339
24.14,317
24.17,310
24.2,310
24.23,327
24.26,277
24.29,315
24.32,342
24.35,300
24.38,280
24.41,210
24.44,182
24.47,155
24.5,143
24.53,85
24.56,86
24.59,85
24.62,84
24.65,90
24.68,75
24.71,71
24.74,68
24.77,80
24.8,72
24.83,73
24.86,59
24.89,78
