Bragg_angle,Intensity
\circ,a.u.
9.96,427
10.01,402
10.06,469
10.11,410
10.16,414
10.21,399
10.26,427
10.31,408
10.36,409
10.41,382
10.46,424
10.51,399
10.56,404
10.61,396
10.66,419
10.71,368
10.76,379
10.81,420
10.86,396
10.91,368
10.96,388
11.01,393
11.06,368
11.11,387
11.16,351
11.21,354
11.26,340
11.31,343
11.36,359
11.41,365
11.46,374
11.51,348
11.56,366
11.61,347
11.66,381
11.71,378
11.76,367
11.81,349
11.86,399
11.91,379
11.96,361
12.01,384
12.06,334
12.11,395
12.16,374
12.21,383
12.26,384
12.31,363
12.36,344
12.41,345
12.46,362
12.51,397
12.56,365
12.61,390
12.66,358
12.71,352
12.76,356
12.81,352
12.86,368
12.91,375
12.96,400
13.01,354
13.06,344
13.11,373
13.16,374
13.21,367
13.26,343
13.31,328
13.36,338
13.41,375
13.46,352
13.51,358
13.56,340
13.61,376
13.66,361
13.71,339
13.76,331
13.81,361
13.86,345
13.91,297
13.96,393
14.01,353
14.06,327
14.11,286
14.16,358
14.21,345
14.26,328
14.31,318
14.36,313
14.41,334
14.46,320
14.51,278
14.56,328
14.61,337
14.66,320
14.71,319
14.76,331
14.81,307
14.86,320
14.91,319
14.96,295
15.01,310
15.06,311
15.11,317
15.16,343
15.21,340
15.26,330
15.31,302
15.36,305
15.41,334
15.46,298
15.51,336
15.56,292
15.61,312
15.66,327
15.71,295
15.76,339
15.81,313
15.86,299
15.91,281
15.96,301
16.01,331
16.06,308
16.11,305
16.16,295
16.21,275
16.26,282
16.31,302
16.36,315
16.41,278
16.46,286
16.51,299
16.56,321
16.61,303
16.66,279
16.71,239
16.76,292
16.81,272
16.86,282
16.91,284
16.96,282
17.01,293
17.06,280
17.11,261
17.16,267
17.21,246
17.26,247
17.31,268
17.36,263
17.41,265
17.46,294
17.51,306
17.56,271
17.61,295
17.66,284
17.71,278
17.76,280
17.81,229
17.86,251
17.91,285
17.96,248
18.01,263
18.06,244
18.11,232
18.16,273
18.21,267
18.26,276
18.31,248
18.36,264
18.41,253
18.46,247
18.51,244
18.56,243
18.61,260
18.66,230
18.71,239
18.76,255
18.81,242
18.86,239
18.91,233
18.96,221
19.01,267
19.06,241
19.11,233
19.16,263
19.21,252
19.26,285
19.31,291
19.36,314
19.41,410
19.46,455
19.51,595
19.56,648
19.61,601
19.66,395
19.71,303
19.76,291
19.81,275
19.86,286
19.91,309
19.96,338
20.01,363
20.06,384
20.11,395
20.16,355
20.21,258
20.26,230
20.31,230
20.36,194
20.41,231
20.46,254
20.51,241
20.56,222
20.61,219
20.66,200
20.71,246
20.76,215
20.81,216
20.86,238
20.91,202
20.96,218
21.01,217
21.06,229
21.11,216
21.16,256
21.21,215
21.26,220
21.31,199
21.36,230
21.41,237
21.46,259
21.51,254
21.56,252
21.61,272
21.66,271
21.71,274
21.76,272
21.81,216
21.86,234
21.91,236
21.96,243
22.01,227
22.06,252
22.11,265
22.16,223
22.21,198
22.26,252
22.31,223
22.36,216
22.41,225
22.46,219
22.51,218
22.56,220
22.61,208
22.66,205
22.71,209
22.76,240
22.81,242
22.86,271
22.91,323
22.96,408
23.01,595
23.06,808
23.11,716
23.16,425
23.21,270
23.26,254
23.31,254
23.36,262
23.41,255
23.46,285
23.51,315
23.56,331
23.61,376
23.66,469
23.71,544
23.76,777
23.81,1130
23.86,1701
23.91,2833
23.96,4191
24.01,4986
24.06,4717
24.11,3351
24.16,2014
24.21,1379
24.26,1353
24.31,1641
24.36,2116
24.41,2529
24.46,2643
24.51,1986
24.56,1099
24.61,597
24.66,375
24.71,346
24.76,331
24.81,257
24.86,227
24.91,237
24.96,239
25.01,225
25.06,211
25.11,221
25.16,216
25.21,228
25.26,209
25.31,220
25.36,190
25.41,213
25.46,214
25.51,211
25.56,198
25.61,210
25.66,210
25.71,218
25.76,194
25.81,204
25.86,184
25.91,197
25.96,207
26.01,190
26.06,201
26.11,199
26.16,189
26.21,179
26.26,196
