Bragg_angle,Intensity
\circ,a.u.
9.87,251
9.9,250
9.93,269
9.96,268
9.99,226
10.02,279
10.05,237
10.08,279
10.11,251
10.14,235
10.17,236
10.2,233
10.23,229
10.26,195
10.29,210
10.32,200
10.35,203
10.38,197
10.41,183
10.44,169
10.47,174
10.5,167
10.53,137
10.56,133
10.59,135
10.62,140
10.65,157
10.68,164
10.71,140
10.74,138
10.77,143
10.8,158
10.83,143
10.86,132
10.89,127
10.92,129
10.95,139
10.98,128
11.01,148
11.04,137
11.07,123
11.1,146
11.13,131
11.16,146
11.19,143
11.22,107
11.25,145
11.28,140
11.31,151
11.34,131
11.37,154
11.4,140
11.43,117
11.46,122
11.49,137
11.52,134
11.55,159
11.58,128
11.61,136
11.64,149
11.67,126
11.7,147
11.73,140
11.76,157
11.79,126
11.82,121
11.85,147
11.88,135
11.91,129
11.94,145
11.97,138
12,138
12.03,115
12.06,132
12.09,118
12.12,133
12.15,155
12.18,125
12.21,149
12.24,136
12.27,152
12.3,130
12.33,142
12.36,143
12.39,135
12.42,124
12.45,127
12.48,124
12.51,124
12.54,140
12.57,122
12.6,136
12.63,142
12.66,130
12.69,140
12.72,137
12.75,127
12.78,130
12.81,146
12.84,125
12.87,124
12.9,132
12.93,116
12.96,133
12.99,121
13.02,150
13.05,133
13.08,124
13.11,112
13.14,111
13.17,128
13.2,106
13.23,112
13.26,134
13.29,131
13.32,122
13.35,120
13.38,121
13.41,131
13.44,119
13.47,122
13.5,116
13.53,123
13.56,116
13.59,110
13.62,141
13.65,126
13.68,117
13.71,124
13.74,129
13.77,143
13.8,130
13.83,132
13.86,105
13.89,117
13.92,137
13.95,128
13.98,144
14.01,116
14.04,107
14.07,114
14.1,104
14.13,133
14.16,134
14.19,120
14.22,120
14.25,135
14.28,156
14.31,133
14.34,125
14.37,120
14.4,106
14.43,120
14.46,116
14.49,152
14.52,150
14.55,116
14.58,151
14.61,126
14.64,112
14.67,131
14.7,127
14.73,114
14.76,117
14.79,118
14.82,126
14.85,149
14.88,121
14.91,117
14.94,102
14.97,140
15,132
15.03,117
15.06,114
15.09,125
15.12,118
15.15,100
15.18,122
15.21,107
15.24,119
15.27,144
15.3,119
15.33,106
15.36,115
15.39,102
15.42,124
15.45,114
15.48,127
15.51,121
15.54,115
15.57,128
15.6,132
15.63,116
15.66,117
15.69,112
15.72,132
15.75,129
15.78,103
15.81,112
15.84,127
15.87,114
15.9,117
15.93,139
15.96,93
15.99,105
16.02,112
16.05,118
16.08,120
16.11,126
16.14,117
16.17,117
16.2,96
16.23,119
16.26,101
16.29,103
16.32,113
16.35,99
16.38,106
16.41,98
16.44,107
16.47,112
16.5,124
16.53,107
16.56,86
16.59,94
16.62,98
16.65,107
16.68,91
16.71,114
16.74,116
16.77,92
16.8,109
16.83,104
16.86,84
16.89,97
16.92,103
16.95,99
16.98,117
17.01,110
17.04,109
17.07,124
17.1,78
17.13,105
17.16,113
17.19,93
17.22,93
17.25,103
17.28,93
17.31,94
17.34,86
17.37,102
17.4,93
17.43,100
17.46,82
17.49,97
17.52,85
17.55,95
17.58,95
17.61,97
17.64,90
17.67,83
17.7,93
17.73,88
17.76,90
17.79,92
17.82,95
17.85,92
17.88,87
17.91,85
17.94,105
17.97,90
18,91
18.03,94
18.06,93
18.09,94
18.12,105
18.15,103
18.18,72
18.21,77
18.24,96
18.27,101
18.3,84
18.33,90
18.36,83
18.39,84
18.42,90
18.45,83
18.48,104
18.51,94
18.54,101
18.57,105
18.6,94
18.63,99
18.66,90
18.69,107
18.72,72
18.75,100
18.78,87
18.81,104
18.84,86
18.87,92
18.9,108
18.93,93
18.96,104
18.99,108
19.02,110
19.05,115
19.08,120
19.11,146
19.14,154
19.17,188
19.2,201
19.23,250
19.26,315
19.29,430
19.32,529
19.35,666
19.38,691
19.41,673
19.44,526
19.47,452
19.5,347
19.53,338
19.56,280
19.59,249
19.62,246
19.65,252
19.68,233
19.71,260
19.74,260
19.77,254
19.8,293
19.83,272
19.86,305
19.89,250
19.92,215
19.95,183
19.98,130
20.01,126
20.04,117
20.07,89
20.1,92
20.13,93
20.16,102
20.19,88
20.22,92
20.25,85
20.28,109
20.31,95
20.34,101
20.37,114
20.4,90
20.43,74
20.46,95
20.49,89
20.52,95
20.55,97
20.58,103
20.61,81
20.64,81
20.67,95
20.7,90
20.73,78
20.76,86
20.79,83
20.82,77
20.85,81
20.88,90
20.91,64
20.94,70
20.97,76
21,78
21.03,88
21.06,99
21.09,80
21.12,82
21.15,97
21.18,87
21.21,87
21.24,91
21.27,92
21.3,97
21.33,87
21.36,105
21.39,97
21.42,110
21.45,106
21.48,121
21.51,121
21.54,113
21.57,112
21.6,104
21.63,94
21.66,92
21.69,94
21.72,104
21.75,112
21.78,110
21.81,95
21.84,95
21.87,89
21.9,92
21.93,93
21.96,87
21.99,96
22.02,97
22.05,95
22.08,77
22.11,115
22.14,73
22.17,80
22.2,82
22.23,85
22.26,85
22.29,81
22.32,94
22.35,101
22.38,79
22.41,82
22.44,88
22.47,69
22.5,85
22.53,78
22.56,84
22.59,103
22.62,81
22.65,86
22.68,111
22.71,69
22.74,87
22.77,93
22.8,84
22.83,110
22.86,76
22.89,90
22.92,109
22.95,113
22.98,127
23.01,118
23.04,104
23.07,109
23.1,98
23.13,107
23.16,115
23.19,110
23.22,108
23.25,116
23.28,92
