Bragg_angle,Intensity
\circ,a.u.
5,364
5.05,353
5.1,369
5.15,350
5.2,336
5.25,311
5.3,351
5.35,356
5.4,291
5.45,318
5.5,344
5.55,300
5.6,304
5.65,277
5.7,322
5.75,294
5.8,280
5.85,278
5.9,327
5.95,312
6,279
6.05,290
6.1,310
6.15,306
6.2,279
6.25,308
6.3,329
6.35,302
6.4,281
6.45,293
6.5,323
6.55,325
6.6,276
6.65,279
6.7,249
6.75,277
6.8,279
6.85,266
6.9,252
6.95,248
7,205
7.05,238
7.1,224
7.15,254
7.2,246
7.25,231
7.3,217
7.35,214
7.4,219
7.45,224
7.5,247
7.55,226
7.6,189
7.65,209
7.7,222
7.75,225
7.8,253
7.85,227
7.9,207
7.95,228
8,243
8.05,222
8.1,240
8.15,223
8.2,183
8.25,199
8.3,227
8.35,208
8.4,225
8.45,231
8.5,195
8.55,223
8.6,205
8.65,194
8.7,224
8.75,197
8.8,207
8.85,215
8.9,220
8.95,220
9,202
9.05,274
9.1,230
9.15,246
9.2,269
9.25,270
9.3,276
9.35,318
9.4,330
9.45,302
9.5,318
9.55,356
9.6,288
9.65,336
9.7,379
9.75,332
9.8,325
9.85,392
9.9,342
9.95,317
10,345
10.05,300
10.1,307
10.15,340
10.2,301
10.25,285
10.3,290
10.35,243
10.4,276
10.45,245
10.5,254
10.55,254
10.6,207
10.65,232
10.7,201
10.75,222
10.8,217
10.85,197
10.9,194
10.95,175
11,205
11.05,221
11.1,180
11.15,185
11.2,186
11.25,203
11.3,181
11.35,189
11.4,172
11.45,160
11.5,156
11.55,183
11.6,178
11.65,188
11.7,152
11.75,162
11.8,171
11.85,217
11.9,168
11.95,178
12,175
12.05,191
12.1,184
12.15,167
12.2,170
12.25,159
12.3,192
12.35,178
12.4,163
12.45,178
12.5,157
12.55,168
12.6,187
12.65,205
12.7,179
12.75,197
12.8,181
12.85,188
12.9,188
12.95,172
13,170
13.05,159
13.1,167
13.15,169
13.2,176
13.25,163
13.3,183
13.35,191
13.4,163
13.45,168
13.5,182
13.55,192
13.6,178
13.65,155
13.7,204
13.75,171
13.8,154
13.85,174
13.9,188
13.95,162
14,179
14.05,162
14.1,178
14.15,173
14.2,166
14.25,163
14.3,167
14.35,189
14.4,180
14.45,201
14.5,159
14.55,187
14.6,169
14.65,185
14.7,165
14.75,175
14.8,169
14.85,160
14.9,184
14.95,172
15,167
15.05,177
15.1,178
15.15,178
15.2,201
15.25,191
15.3,177
15.35,158
15.4,175
15.45,183
15.5,211
15.55,187
15.6,185
15.65,180
15.7,185
15.75,201
15.8,159
15.85,176
15.9,179
15.95,161
16,168
16.05,163
16.1,174
16.15,172
16.2,163
16.25,167
16.3,192
16.35,185
16.4,190
16.45,163
16.5,176
16.55,175
16.6,163
16.65,145
16.7,157
16.75,146
16.8,172
16.85,140
16.9,193
16.95,176
17,174
17.05,169
17.1,172
17.15,149
17.2,177
17.25,178
17.3,161
17.35,145
17.4,168
17.45,172
17.5,178
17.55,164
17.6,180
17.65,184
17.7,164
17.75,172
17.8,160
17.85,158
17.9,171
17.95,134
18,173
18.05,181
18.1,155
18.15,161
18.2,161
18.25,160
18.3,157
18.35,155
18.4,176
18.45,170
18.5,168
18.55,183
18.6,163
18.65,163
18.7,179
18.75,178
18.8,169
18.85,154
18.9,153
18.95,188
19,170
19.05,149
19.1,156
19.15,166
19.2,140
19.25,167
19.3,167
19.35,158
19.4,163
19.45,191
19.5,181
19.55,168
19.6,168
19.65,184
19.7,158
19.75,146
19.8,190
19.85,177
19.9,176
19.95,175
20,145
20.05,174
20.1,166
20.15,144
20.2,152
20.25,158
20.3,173
20.35,173
20.4,168
20.45,163
20.5,179
20.55,173
20.6,177
20.65,151
20.7,168
20.75,169
20.8,183
20.85,179
20.9,172
20.95,227
21,216
21.05,253
21.1,247
21.15,241
21.2,216
21.25,180
21.3,192
21.35,175
21.4,160
21.45,161
21.5,179
21.55,164
21.6,155
21.65,168
21.7,173
21.75,198
21.8,172
21.85,196
21.9,190
21.95,170
22,203
22.05,183
22.1,199
22.15,223
22.2,213
22.25,227
22.3,248
22.35,263
22.4,307
22.45,362
22.5,431
22.55,474
22.6,541
22.65,586
22.7,701
22.75,781
22.8,851
22.85,897
22.9,827
22.95,635
23,510
23.05,390
23.1,322
23.15,247
23.2,252
23.25,210
23.3,217
23.35,199
23.4,196
23.45,180
23.5,179
23.55,186
23.6,157
23.65,166
23.7,163
23.75,179
23.8,155
23.85,136
23.9,156
23.95,158
24,167
24.05,155
24.1,124
24.15,162
24.2,158
24.25,157
24.3,145
24.35,150
24.4,181
24.45,137
24.5,186
24.55,174
24.6,165
24.65,159
24.7,193
24.75,203
24.8,199
24.85,241
24.9,260
24.95,314
25,283
25.05,301
25.1,257
25.15,246
25.2,209
25.25,194
25.3,164
25.35,174
25.4,174
25.45,149
25.5,154
25.55,161
25.6,163
25.65,145
25.7,159
25.75,161
25.8,157
25.85,154
25.9,186
25.95,185
26,159
26.05,191
26.1,175
26.15,171
26.2,184
26.25,170
26.3,141
26.35,132
26.4,151
26.45,155
26.5,176
26.55,166
26.6,166
26.65,156
26.7,152
26.75,162
26.8,193
26.85,199
26.9,236
26.95,260
27,285
27.05,328
27.1,371
27.15,392
27.2,398
27.25,370
27.3,318
27.35,268
27.4,266
27.45,218
27.5,211
27.55,205
27.6,189
27.65,182
27.7,192
27.75,175
27.8,197
27.85,183
27.9,224
27.95,209
28,217
28.05,263
28.1,252
28.15,252
28.2,318
28.25,328
28.3,392
28.35,441
28.4,565
28.45,617
28.5,708
28.55,776
28.6,928
28.65,1058
28.7,1233
28.75,1437
28.8,1782
28.85,1984
28.9,2277
28.95,2342
29,2017
29.05,1574
29.1,1095
29.15,762
29.2,617
29.25,431
29.3,365
29.35,253
29.4,270
29.45,259
29.5,218
29.55,225
29.6,192
29.65,178
29.7,194
29.75,189
29.8,156
29.85,174
29.9,164
29.95,172
30,148
30.05,164
30.1,184
30.15,185
30.2,158
30.25,172
30.3,158
30.35,147
30.4,169
30.45,134
30.5,156
30.55,173
30.6,157
30.65,146
30.7,141
30.75,139
30.8,134
30.85,123
30.9,145
30.95,145
31,144
31.05,128
31.1,122
31.15,122
31.2,142
31.25,131
31.3,125
31.35,121
31.4,148
31.45,115
31.5,154
31.55,123
31.6,123
31.65,146
31.7,133
31.75,138
31.8,145
31.85,176
31.9,149
31.95,157
32,117
32.05,134
32.1,119
32.15,134
32.2,139
32.25,139
32.3,142
32.35,148
32.4,152
32.45,163
32.5,184
32.55,208
32.6,212
32.65,287
32.7,337
32.75,349
32.8,407
32.85,444
32.9,482
32.95,431
33,379
33.05,298
33.1,280
33.15,222
33.2,183
33.25,181
33.3,171
33.35,177
33.4,131
33.45,130
33.5,123
33.55,141
33.6,158
33.65,132
33.7,147
33.75,134
33.8,131
33.85,130
33.9,143
33.95,143
34,113
34.05,134
34.1,137
34.15,127
34.2,148
34.25,125
34.3,123
34.35,161
34.4,144
34.45,141
34.5,136
34.55,126
34.6,149
34.65,152
34.7,140
34.75,151
34.8,161
34.85,158
34.9,151
34.95,167
35,167
35.05,197
35.1,211
35.15,223
35.2,222
35.25,268
35.3,297
35.35,289
35.4,345
35.45,388
35.5,414
35.55,463
35.6,500
35.65,503
35.7,615
35.75,527
35.8,493
35.85,367
35.9,344
35.95,280
36,243
36.05,223
36.1,195
36.15,177
36.2,191
36.25,179
36.3,174
36.35,174
36.4,153
36.45,172
36.5,149
36.55,129
36.6,155
36.65,148
36.7,144
36.75,142
36.8,148
36.85,155
36.9,155
36.95,119
37,147
37.05,133
37.1,146
37.15,140
37.2,158
37.25,133
37.3,151
37.35,146
37.4,142
37.45,159
37.5,133
37.55,145
37.6,142
37.65,128
37.7,140
37.75,114
37.8,118
37.85,157
37.9,154
37.95,146
38,144
38.05,148
38.1,129
38.15,136
38.2,141
38.25,139
38.3,130
38.35,143
38.4,139
38.45,154
38.5,158
38.55,165
38.6,151
38.65,188
38.7,153
38.75,144
38.8,164
38.85,168
38.9,151
38.95,153
39,149
39.05,158
39.1,152
39.15,174
39.2,194
39.25,158
39.3,145
39.35,154
39.4,161
39.45,157
39.5,161
39.55,170
39.6,128
39.65,154
39.7,168
39.75,147
39.8,134
39.85,155
39.9,150
39.95,163
40,135
40.05,162
40.1,177
40.15,159
40.2,136
40.25,154
40.3,153
40.35,149
40.4,151
40.45,131
40.5,146
40.55,149
40.6,166
40.65,152
40.7,171
40.75,140
40.8,159
40.85,153
40.9,146
40.95,163
41,151
41.05,139
41.1,141
41.15,124
41.2,174
41.25,183
41.3,135
41.35,168
41.4,160
41.45,155
41.5,155
41.55,156
41.6,152
41.65,188
41.7,169
41.75,190
41.8,183
41.85,182
41.9,186
41.95,178
42,183
42.05,218
42.1,246
42.15,212
42.2,218
42.25,246
42.3,271
42.35,275
42.4,335
42.45,330
42.5,378
42.55,398
42.6,474
42.65,515
42.7,488
42.75,535
42.8,538
42.85,500
42.9,455
42.95,371
43,316
43.05,286
43.1,248
43.15,208
43.2,194
43.25,196
43.3,172
43.35,198
43.4,166
43.45,176
43.5,151
43.55,211
43.6,181
43.65,222
43.7,206
43.75,284
43.8,275
43.85,287
43.9,312
43.95,311
44,308
44.05,257
44.1,238
44.15,187
44.2,219
44.25,177
44.3,170
44.35,180
44.4,168
44.45,139
44.5,154
44.55,163
44.6,154
44.65,180
44.7,166
44.75,166
44.8,166
44.85,154
44.9,156
44.95,174
45,148
45.05,153
45.1,178
45.15,163
45.2,186
45.25,170
45.3,176
45.35,182
45.4,182
45.45,215
45.5,183
45.55,223
45.6,242
45.65,243
45.7,252
45.75,269
45.8,230
45.85,235
45.9,263
45.95,281
46,309
46.05,335
46.1,367
46.15,386
46.2,418
46.25,451
46.3,509
46.35,509
46.4,529
46.45,507
46.5,487
46.55,408
46.6,397
46.65,382
46.7,312
46.75,296
46.8,262
46.85,256
46.9,243
46.95,254
47,271
47.05,215
47.1,250
47.15,242
47.2,271
47.25,272
47.3,301
47.35,301
47.4,341
47.45,351
47.5,349
47.55,358
47.6,417
47.65,385
47.7,405
47.75,445
47.8,357
47.85,329
47.9,298
47.95,260
48,212
48.05,202
48.1,181
48.15,136
48.2,141
48.25,137
48.3,149
48.35,136
48.4,140
48.45,126
48.5,137
48.55,118
48.6,113
48.65,134
48.7,145
48.75,123
48.8,146
48.85,137
48.9,155
48.95,155
49,165
49.05,165
49.1,195
49.15,207
49.2,167
49.25,160
49.3,150
49.35,159
49.4,143
49.45,139
49.5,149
49.55,125
49.6,126
49.65,105
49.7,122
49.75,125
49.8,148
49.85,148
