Bragg_angle,Intensity
\circ,a.u.
5,329
5.05,302
5.1,341
5.15,356
5.2,338
5.25,340
5.3,347
5.35,311
5.4,326
5.45,333
5.5,307
5.55,305
5.6,304
5.65,327
5.7,329
5.75,308
5.8,320
5.85,343
5.9,318
5.95,309
6,314
6.05,352
6.1,309
6.15,331
6.2,347
6.25,329
6.3,360
6.35,332
6.4,332
6.45,362
6.5,336
6.55,338
6.6,314
6.65,333
6.7,341
6.75,307
6.8,313
6.85,290
6.9,292
6.95,301
7,273
7.05,244
7.1,228
7.15,239
7.2,261
7.25,249
7.3,230
7.35,269
7.4,258
7.45,259
7.5,243
7.55,235
7.6,249
7.65,234
7.7,251
7.75,227
7.8,228
7.85,270
7.9,268
7.95,237
8,233
8.05,256
8.1,273
8.15,246
8.2,265
8.25,254
8.3,295
8.35,263
8.4,267
8.45,278
8.5,274
8.55,291
8.6,291
8.65,288
8.7,279
8.75,276
8.8,345
8.85,366
8.9,345
8.95,399
9,407
9.05,429
9.1,394
9.15,427
9.2,450
9.25,421
9.3,440
9.35,484
9.4,482
9.45,460
9.5,483
9.55,473
9.6,455
9.65,487
9.7,490
9.75,509
9.8,482
9.85,510
9.9,503
9.95,517
10,462
10.05,489
10.1,448
10.15,442
10.2,424
10.25,422
10.3,409
10.35,377
10.4,322
10.45,345
10.5,275
10.55,289
10.6,230
10.65,184
10.7,220
10.75,235
10.8,200
10.85,207
10.9,227
10.95,220
11,202
11.05,193
11.1,186
11.15,165
11.2,172
11.25,172
11.3,176
11.35,172
11.4,166
11.45,206
11.5,163
11.55,160
11.6,204
11.65,186
11.7,171
11.75,202
11.8,167
11.85,205
11.9,197
11.95,203
12,182
12.05,163
12.1,183
12.15,169
12.2,154
12.25,183
12.3,185
12.35,168
12.4,179
12.45,166
12.5,163
12.55,168
12.6,176
12.65,170
12.7,195
12.75,185
12.8,176
12.85,138
12.9,161
12.95,155
13,170
13.05,178
13.1,153
13.15,175
13.2,163
13.25,148
13.3,189
13.35,165
13.4,166
13.45,170
13.5,170
13.55,163
13.6,150
13.65,166
13.7,170
13.75,157
13.8,166
13.85,156
13.9,169
13.95,165
14,179
14.05,155
14.1,144
14.15,145
14.2,151
14.25,141
14.3,144
14.35,127
14.4,156
14.45,144
14.5,163
14.55,159
14.6,161
14.65,134
14.7,156
14.75,157
14.8,144
14.85,164
14.9,146
14.95,141
15,163
15.05,134
15.1,119
15.15,156
15.2,158
15.25,156
15.3,132
15.35,143
15.4,144
15.45,130
15.5,134
15.55,155
15.6,158
15.65,146
15.7,134
15.75,141
15.8,145
15.85,142
15.9,123
15.95,144
16,127
16.05,123
16.1,127
16.15,150
16.2,125
16.25,112
16.3,132
16.35,140
16.4,138
16.45,146
16.5,135
16.55,147
16.6,130
16.65,138
16.7,140
16.75,131
16.8,117
16.85,135
16.9,114
16.95,113
17,143
17.05,98
17.1,128
17.15,144
17.2,111
17.25,110
17.3,133
17.35,120
17.4,124
17.45,115
17.5,125
17.55,111
17.6,100
17.65,118
17.7,121
17.75,116
17.8,109
17.85,116
17.9,116
17.95,111
18,94
18.05,110
18.1,96
18.15,104
18.2,113
18.25,109
18.3,106
18.35,86
18.4,116
18.45,96
18.5,108
18.55,101
18.6,98
18.65,106
18.7,103
18.75,112
18.8,119
18.85,97
18.9,106
18.95,102
19,102
19.05,110
19.1,93
19.15,104
19.2,107
19.25,104
19.3,103
19.35,98
19.4,100
19.45,102
19.5,101
19.55,84
19.6,98
19.65,94
19.7,108
19.75,93
19.8,80
19.85,94
19.9,108
19.95,89
20,82
20.05,88
20.1,99
20.15,111
20.2,95
20.25,101
20.3,89
20.35,101
20.4,90
20.45,95
20.5,114
20.55,93
20.6,83
20.65,98
20.7,97
20.75,101
20.8,100
20.85,92
20.9,92
20.95,98
21,91
21.05,90
21.1,95
21.15,93
21.2,78
21.25,84
21.3,70
21.35,96
21.4,77
21.45,86
21.5,92
21.55,95
21.6,76
21.65,88
21.7,89
21.75,77
21.8,77
21.85,67
21.9,79
21.95,85
22,80
22.05,75
22.1,90
22.15,74
22.2,79
22.25,88
22.3,77
22.35,86
22.4,79
22.45,72
22.5,99
22.55,77
22.6,78
22.65,102
22.7,97
22.75,101
22.8,109
22.85,137
22.9,203
22.95,377
23,721
23.05,1119
23.1,1248
23.15,697
23.2,254
23.25,112
23.3,95
23.35,95
23.4,81
23.45,76
23.5,82
23.55,84
23.6,66
23.65,77
23.7,70
23.75,89
23.8,82
23.85,80
23.9,93
23.95,76
24,83
24.05,88
24.1,79
24.15,93
24.2,83
24.25,78
24.3,62
24.35,62
24.4,78
24.45,79
24.5,73
24.55,81
24.6,85
24.65,79
24.7,77
24.75,83
24.8,84
24.85,76
24.9,85
24.95,78
25,89
25.05,80
25.1,77
25.15,57
25.2,64
25.25,67
25.3,55
25.35,82
25.4,83
25.45,73
25.5,73
25.55,68
25.6,74
25.65,74
25.7,71
25.75,71
25.8,61
25.85,72
25.9,64
25.95,74
26,75
26.05,56
26.1,72
26.15,88
26.2,83
26.25,70
26.3,60
26.35,74
26.4,99
26.45,142
26.5,179
26.55,195
26.6,140
26.65,78
26.7,88
26.75,73
26.8,67
26.85,65
26.9,79
26.95,79
27,75
27.05,63
27.1,78
27.15,69
27.2,78
27.25,74
27.3,57
27.35,70
27.4,57
27.45,70
27.5,62
27.55,68
27.6,74
27.65,71
27.7,73
27.75,70
27.8,63
27.85,58
27.9,77
27.95,59
28,75
28.05,62
28.1,72
28.15,65
28.2,72
28.25,68
28.3,77
28.35,90
28.4,101
28.45,111
28.5,107
28.55,104
28.6,110
28.65,125
28.7,119
28.75,129
28.8,117
28.85,151
28.9,116
28.95,119
29,116
29.05,168
29.1,218
29.15,373
29.2,647
29.25,1316
29.3,2706
29.35,6313
29.4,11678
29.45,11793
29.5,6946
29.55,2956
29.6,635
29.65,376
29.7,216
29.75,186
29.8,142
29.85,118
29.9,111
29.95,116
30,113
30.05,102
30.1,110
30.15,103
30.2,89
30.25,99
30.3,103
30.35,115
30.4,105
30.45,101
30.5,88
30.55,102
30.6,90
30.65,88
30.7,95
30.75,72
30.8,81
30.85,84
30.9,87
30.95,93
31,92
31.05,92
31.1,95
31.15,87
31.2,92
31.25,92
31.3,110
31.35,166
31.4,247
31.45,356
31.5,289
31.55,224
31.6,145
31.65,82
31.7,71
31.75,63
31.8,77
31.85,65
31.9,73
31.95,69
32,79
32.05,70
32.1,60
32.15,65
32.2,74
32.25,85
32.3,58
32.35,84
32.4,85
32.45,92
32.5,85
32.55,68
32.6,62
32.65,67
32.7,69
32.75,85
32.8,63
32.85,65
32.9,65
32.95,54
33,65
33.05,55
33.1,65
33.15,51
33.2,67
33.25,70
33.3,73
33.35,58
33.4,69
33.45,63
33.5,60
33.55,67
33.6,62
33.65,73
33.7,70
33.75,66
33.8,60
33.85,58
33.9,75
33.95,56
34,71
34.05,63
34.1,66
34.15,61
34.2,60
34.25,59
34.3,59
34.35,64
34.4,52
34.45,58
34.5,51
34.55,46
34.6,56
34.65,45
34.7,58
34.75,63
34.8,66
34.85,68
34.9,73
34.95,58
35,67
35.05,47
35.1,66
35.15,54
35.2,60
35.25,60
35.3,67
35.35,60
35.4,76
35.45,90
35.5,90
35.55,92
35.6,67
35.65,77
35.7,70
35.75,88
35.8,170
35.85,322
35.9,631
35.95,1346
36,1501
36.05,1242
36.1,783
36.15,338
36.2,110
36.25,82
36.3,65
36.35,66
36.4,62
36.45,59
36.5,60
36.55,43
36.6,67
36.65,56
36.7,56
36.75,49
36.8,63
36.85,61
36.9,43
36.95,58
37,62
37.05,68
37.1,56
37.15,55
37.2,60
37.25,64
37.3,65
37.35,52
37.4,50
37.45,54
37.5,55
37.55,44
37.6,55
37.65,47
37.7,52
37.75,53
37.8,54
37.85,55
37.9,60
37.95,50
38,59
38.05,69
38.1,69
38.15,69
38.2,56
38.25,58
38.3,49
38.35,62
38.4,53
38.45,45
38.5,56
38.55,64
38.6,57
38.65,61
38.7,60
38.75,79
38.8,78
38.85,75
38.9,79
38.95,72
39,66
39.05,72
39.1,90
39.15,104
39.2,156
39.25,224
39.3,466
39.35,1057
39.4,2251
39.45,2247
39.5,1767
39.55,1090
39.6,523
39.65,160
39.7,103
39.75,69
39.8,70
39.85,64
39.9,63
39.95,63
40,53
40.05,56
40.1,56
40.15,64
40.2,43
40.25,48
40.3,63
40.35,53
40.4,48
40.45,59
40.5,55
40.55,58
40.6,46
40.65,55
40.7,60
40.75,45
40.8,45
40.85,53
40.9,51
40.95,40
41,53
41.05,54
41.1,47
41.15,52
41.2,56
41.25,65
41.3,54
41.35,50
41.4,44
41.45,55
41.5,59
41.55,52
41.6,46
41.65,52
41.7,51
41.75,67
41.8,64
41.85,45
41.9,48
41.95,70
42,56
