Raman_Shift,Intensity
cm^-^1,a.u.
67.7373,549.846
68.2617,558.791
68.7882,568.236
69.3125,573.264
69.839,590.083
70.3632,606.153
70.8896,624.723
71.4138,637.46
71.9402,635.863
72.4643,629.183
72.9906,621.086
73.5147,629.906
74.0409,638.6
74.565,657.379
75.089,675.115
75.6151,657.977
76.1391,644.421
76.6651,641.533
77.189,628.811
77.715,625.173
78.2389,623.326
78.7627,612.812
79.2886,611.965
79.8123,614.619
80.3361,607.022
80.8619,608.883
81.3856,611.495
81.9113,633.481
82.4349,645.134
82.9585,647.371
83.4842,640.191
84.0077,616.76
84.5312,604.33
85.0568,593.817
85.5802,596.387
86.1036,592.498
86.6291,600.776
87.1525,595.179
87.6758,596.124
88.199,590.819
88.7244,597.305
89.2477,595.542
89.7709,601.028
90.2962,611.765
90.8193,626.626
91.3424,621.571
91.8655,614.974
92.3906,608.211
92.9137,597.281
93.4367,611.726
93.9596,627.712
94.4847,622.907
95.0076,611.935
95.5304,610.63
96.0533,611.7
96.5782,603.02
97.101,596.131
97.6238,604.034
98.1465,612.354
98.6692,619.049
99.194,624.577
99.7166,612.522
100.239,602.967
100.762,607.703
101.284,601.231
101.807,606.676
102.332,601.496
102.854,594.399
103.376,598.219
103.899,599.955
104.421,602.734
104.944,611.012
105.466,614.54
105.99,621.651
106.513,622.93
107.035,616.458
107.557,609.069
108.079,604.097
108.601,591.25
109.123,582.445
109.645,581.557
110.167,588.002
110.69,580.863
111.212,587.183
111.736,583.711
112.258,579.781
112.779,579.226
113.301,580.129
113.823,590.032
114.345,591.852
114.867,599.255
115.389,599.075
115.91,593.77
116.432,591.631
116.954,596.368
117.475,596.854
117.997,591.882
118.519,584.786
119.04,581.772
119.562,589.55
120.083,589.536
120.605,587.273
121.126,587.093
121.647,590.663
122.169,600.274
122.69,608.011
123.211,608.872
123.733,598.484
124.254,594.637
124.773,592.332
125.294,591.11
125.816,593.221
126.337,595.833
126.858,593.778
127.379,596.889
127.9,590.626
128.421,605.07
128.942,605.765
129.463,603.21
129.982,610.197
130.503,611.141
131.024,606.961
131.544,603.49
132.065,604.684
132.586,599.629
133.107,602.824
133.628,599.185
134.146,604.214
134.667,603.2
135.188,599.186
135.708,601.381
136.229,599.826
136.747,597.521
137.268,599.757
137.788,607.369
138.309,616.272
138.829,616.8
139.347,614.578
139.868,605.232
140.388,603.343
140.909,608.413
141.429,597.899
141.947,603.761
142.467,602.206
142.987,601.067
143.508,602.22
144.026,603.832
144.546,607.568
145.066,599.68
145.586,615.583
146.104,602.07
146.624,607.056
147.144,607.584
147.662,590.154
148.182,603.515
148.702,604.002
149.219,592.947
149.739,596.141
150.259,595.67
150.777,606.073
151.296,594.851
151.816,595.171
152.334,595.949
152.853,593.894
153.373,595.839
153.891,597.533
154.41,602.187
154.93,605.923
155.447,593.368
155.967,595.313
156.484,593.841
157.003,587.494
157.523,599.855
158.04,592.925
158.559,588.62
159.077,594.107
159.596,585.177
160.115,596.121
160.632,595.15
161.152,596.011
161.669,598.789
162.188,591.484
162.705,591.22
163.224,596.582
163.743,601.735
164.26,594.263
164.779,584.833
165.296,594.695
165.815,590.264
166.331,597.501
166.85,594.946
167.367,595.349
167.886,593.46
168.403,595.614
168.921,586.142
169.438,590.961
169.957,599.448
170.473,584.601
170.99,589.046
171.508,593.074
172.025,586.477
172.543,589.297
173.06,586.7
173.578,583.937
174.095,593.34
174.613,585.118
175.13,589.438
175.646,579.424
176.164,585.494
176.68,584.647
177.199,586.884
177.715,582.537
178.231,588.065
178.749,584.177
179.265,581.788
179.784,578.858
180.3,582.511
180.816,573.831
181.334,583.109
181.85,574.262
182.365,573.29
182.883,569.985
183.399,566.43
183.915,566
184.433,572.903
184.949,573.64
185.465,567.876
185.982,564.362
186.498,556.766
187.014,561.877
187.531,555.655
