Raman_Shift,Intensity
cm^-^1,a.u.
50.3556,177.76
50.881,176.095
51.4085,156.642
51.9359,164.556
52.4612,150.049
52.9886,151.017
53.516,158.405
54.0412,153.951
54.5685,149.865
55.0936,155.201
55.6209,159.589
56.1481,161.398
56.6731,169.681
57.2003,174.385
57.7253,178.773
58.2524,201.582
58.7794,218.918
59.3043,234.779
59.8314,244.641
60.3562,244.924
60.8832,242.786
61.4101,243.542
61.9348,250.93
62.4617,255.424
62.9864,266.443
63.5132,276.463
64.0378,285.693
64.5646,296.818
65.0891,305.469
65.6158,318.331
66.1403,330.088
66.667,349.002
67.1914,353.39
67.718,360.726
68.2424,359.482
68.7689,366.87
69.2932,361.837
69.8197,373.225
70.344,387.245
70.8704,395.054
71.3946,397.284
71.9209,390.935
72.4451,381.008
72.9714,377.711
73.4955,376.678
74.0195,383.014
74.5457,389.033
75.0697,397.579
75.5959,387.125
76.1198,376.513
76.6459,356.48
77.1698,344.079
77.6936,347.151
78.2196,344.223
78.7434,341.453
79.2694,341.052
79.7931,339.598
80.3168,339.933
80.8427,345.742
81.3663,357.92
81.89,372.729
82.4157,376.643
82.9393,376.084
83.4628,378.998
83.9885,360.333
84.512,345.037
85.0354,338.478
85.561,330.445
86.0844,327.727
86.6077,329.747
87.1332,327.977
87.6565,332.628
88.1798,328.016
88.7052,323.562
89.2284,322.529
89.7516,338.706
90.2769,341.147
90.8001,350.588
91.3232,345.186
91.8462,339.995
92.3714,333.172
92.8944,325.666
93.4174,323.211
93.9404,328.599
94.4655,327.251
94.9884,319.902
95.5112,314.711
96.0341,309.151
96.5569,312.802
97.0818,310.559
97.6046,303.946
98.1273,308.65
98.65,307.617
99.1727,310.847
99.6974,315.13
100.22,301.36
100.743,305.432
101.265,292.872
101.788,295.155
102.31,294.438
102.835,289.299
103.357,293.213
103.88,294.128
104.402,301.726
104.924,297.061
105.447,313.66
105.969,316.205
106.493,320.909
107.016,316.876
107.538,305.474
108.06,299.073
108.582,292.881
109.104,280.111
109.626,282.447
110.148,285.887
110.67,285.696
111.192,285.979
111.714,292.103
112.236,296.333
112.76,298.247
113.282,309.32
113.804,315.655
114.326,321.832
114.848,319.641
115.369,324.923
115.891,323.627
116.413,330.12
116.934,325.771
117.456,333.369
117.978,324.915
118.499,337.566
119.021,327.059
119.542,324.184
120.064,328.519
120.585,322.012
121.107,323.979
121.628,331.735
122.15,335.333
122.671,336.721
123.192,342.688
123.711,338.076
124.233,333.621
124.754,336.167
125.275,330.923
125.796,341.048
126.318,340.067
126.839,347.35
127.36,359.316
127.881,361.546
128.402,363.355
128.923,369.269
129.444,379.078
129.963,377.255
130.484,387.38
131.004,388.662
131.525,396.208
132.046,398.648
132.567,405.72
133.088,417.424
133.606,430.338
134.127,438.462
134.648,450.534
135.168,464.343
135.689,472.204
136.21,475.434
136.728,499.085
137.249,510.683
137.769,508.545
138.29,523.932
138.81,521.11
139.328,519.339
139.849,516.411
140.369,508.746
140.889,503.871
141.408,490.574
141.928,488.225
142.448,482.455
142.968,474.79
143.486,482.862
144.007,473.407
144.527,472.532
145.047,475.13
145.565,472.044
146.085,473.853
146.605,474.083
147.125,480.839
147.643,476.805
148.163,468.561
148.683,472.37
149.2,475.231
149.72,474.251
150.24,475.586
150.758,465.71
151.277,472.519
151.797,469.538
152.315,468.189
152.834,471.313
153.354,469.333
153.871,467.562
154.391,458.739
154.911,457.39
155.428,450.304
155.948,443.007
156.465,434.5
156.984,418.204
157.504,417.328
158.021,415.137
158.54,414.998
159.058,398.28
159.577,402.036
160.096,388.214
160.613,387.496
161.132,388.62
161.649,380.271
162.169,373.869
162.686,371.467
163.205,362.434
163.722,351.137
164.241,349.84
164.758,347.333
165.277,337.984
165.796,333.687
166.312,321.812
166.831,321.305
167.348,317.903
167.867,309.974
168.383,303.625
168.902,308.276
169.419,305.505
169.936,299.998
170.454,295.123
170.971,292.721
171.489,285.056
172.006,284.18
172.524,274.936
173.041,275.955
173.559,269.553
174.076,272.204
174.594,267.223
175.111,270.031
175.627,271.261
176.145,258.912
176.661,260.141
177.18,252.213
177.696,256.074
178.212,250.672
178.73,256.849
179.246,246.5
179.765,249.94
180.281,244.538
180.797,245.61
181.315,238.945
181.831,242.174
182.346,242.825
182.864,237.265
183.38,232.547
183.896,234.934
184.414,234.164
184.93,231.236
185.446,233.57
185.963,233.484
186.479,230.977
186.995,223.312
187.51,227.383
188.028,223.613
188.544,221.843
189.059,218.809
189.577,218.986
190.092,215.952
190.608,219.34
191.123,216.359
191.641,212.536
192.156,214.66
192.671,210.679
193.187,206.961
193.704,208.717
194.219,206.999
194.735,210.755
195.25,211.563
195.765,204.372
196.282,209.707
196.797,205.568
197.312,207.323
197.827,200.395
198.342,205.624
198.86,203.275
199.375,199.61
199.889,205.787
200.404,200.49
200.919,202.825
201.434,201.001
201.951,197.178
202.466,204.46
202.981,196.164
203.495,199.551
204.01,195.254
204.525,195.01
205.039,200.555
205.554,198.1
206.071,199.804
206.585,200.507
207.1,197.999
207.614,197.123
208.129,194.932
208.643,197.161
209.158,194.18
209.672,200.515
210.187,199.902
210.701,201.605
211.215,202.414
211.729,203.222
212.244,199.188
212.758,200.47
213.272,200.858
213.786,199.613
214.3,205.948
214.815,204.546
215.329,203.144
215.843,203.268
216.357,201.392
216.871,207.779
217.385,208.588
217.899,211.028
218.413,211.678
218.926,214.065
219.44,209.821
219.954,209.945
220.468,215.49
220.982,221.141
221.495,217.686
222.009,220.284
222.523,217.355
223.037,218.742
223.55,222.182
224.064,224.833
224.577,225.273
225.091,221.66
225.602,221.468
226.116,227.329
226.629,233.453
227.143,231.472
227.656,232.017
228.169,231.457
228.683,225.371
229.196,232.179
229.707,228.092
230.221,232.638
230.734,234.341
231.247,233.359
231.76,234.168
232.273,234.502
232.784,226.732
233.297,229.487
233.811,236.085
234.324,235.946
234.837,238.544
235.347,235.457
235.86,234.265
236.373,233.705
236.886,232.987
237.399,237.743
237.91,239.867
238.423,235.517
238.935,234.852
239.448,239.081
239.959,242.257
240.471,241.803
240.984,242.453
241.497,240.314
242.007,243.648
242.52,247.878
243.032,247.475
243.543,240.389
244.055,244.881
244.568,249.321
245.08,248.971
245.591,246.622
246.103,247.693
246.615,243.185
247.126,245.414
247.638,248.381
248.15,245.82
248.66,257.576
249.172,253.91
249.685,253.929
250.195,257.053
250.707,253.809
251.217,251.196
251.729,255.636
252.241,256.917
252.751,252.673
253.263,255.271
253.773,256.605
254.285,252.834
254.797,258.853
255.306,251.503
255.818,260.417
256.328,253.067
256.84,256.507
257.351,257.683
257.861,249.649
258.373,253.773
258.882,250.95
259.394,254.652
259.904,250.671
260.415,248.953
260.925,248.235
261.436,244.464
261.946,245.904
262.457,243.238
262.966,248.783
263.478,240.012
263.987,234.925
264.498,244.207
265.008,236.331
265.519,231.771
266.028,228.737
266.539,230.966
267.049,221.142
267.56,223.951
268.069,225.601
268.58,219.777
269.089,219.006
269.598,207.762
270.109,210.201
270.618,208.641
271.129,202.765
271.638,197.836
272.147,194.592
272.658,195.61
273.167,193.576
273.677,191.963
274.186,186.508
274.695,185.737
275.206,181.703
275.714,182.406
276.223,173.266
276.734,166.18
277.242,171.461
277.753,163.691
278.261,167.657
278.77,156.254
279.28,157.694
279.789,155.975
280.297,153.994
280.806,148.854
281.316,145.294
281.824,141.365
282.333,137.015
282.843,139.613
283.351,134.631
283.859,128.387
284.37,130.09
284.878,127.582
285.386,123.811
285.894,123.777
286.404,120.69
286.912,121.34
287.42,116.937
287.928,115.219
288.436,105.606
288.946,109.519
289.454,104.169
289.962,102.819
290.47,101.785
290.98,97.9091
291.488,97.4538
291.995,99.4196
292.503,92.2802
293.011,94.9303
293.518,88.3698
294.028,88.1778
294.536,83.5121
295.043,84.5305
295.551,83.2858
296.058,79.5147
296.566,79.1648
297.076,79.4991
297.583,75.2544
298.09,73.3781
298.598,70.6071
299.105,68.1518
299.613,69.8018
300.12,64.7676
300.627,68.3124
301.134,67.5939
301.644,63.8756
302.151,62.6835
302.658,60.2809
303.165,56.773
303.672,56.8441
304.18,59.7046
304.687,56.4598
305.194,56.794
305.701,50.6019
306.208,53.3045
306.715,48.8492
307.221,51.4992
307.728,46.465
308.235,49.536
308.742,46.9228
309.249,43.7307
309.756,43.2754
310.262,43.7675
310.769,41.9964
311.276,43.8042
311.783,40.0332
312.289,37.2094
312.796,39.0173
313.302,38.7725
313.809,39.054
314.316,37.0724
314.822,38.7224
315.329,35.8986
315.835,35.3907
316.341,34.0933
316.848,37.6379
317.352,33.3404
317.858,31.2535
318.365,33.7981
318.871,28.4481
319.377,28.6243
319.884,26.0637
320.39,28.9768
320.896,27.3636
321.402,33.224
321.906,29.8739
322.412,27.5238
322.918,26.5947
323.424,27.3499
323.93,22.6314
324.436,26.9129
324.94,24.089
325.446,24.581
325.952,21.0204
326.458,24.4598
326.964,23.5308
327.47,24.128
327.973,24.6199
328.479,25.9014
328.985,21.1828
329.49,20.6222
329.994,22.2193
330.5,21.2377
331.005,18.8875
331.511,20.5374
332.016,20.5031
332.52,17.0476
333.025,21.0133
333.531,17.2947
334.034,15.576
334.54,20.9627
335.045,16.7705
335.551,18.3678
336.054,15.3859
336.559,15.0358
337.064,14.6857
337.568,13.388
338.073,17.6695
338.578,20.0562
339.083,12.4429
339.586,16.7768
340.091,13.4793
340.596,14.866
341.099,21.0947
341.605,12.6392
342.107,11.5521
342.612,17.0441
343.117,13.5887
343.62,15.3436
344.125,16.3619
344.63,15.8539
345.133,14.8193
345.638,14.3112
346.14,14.1189
346.645,14.3476
347.15,15.1554
347.652,13.5419
348.157,12.7707
348.66,8.68352
349.164,16.4386
349.667,10.2988
350.171,12.0013
350.676,14.3879
351.178,13.6166
351.683,11.2664
352.185,7.70549
352.69,10.9343
353.192,8.74187
353.697,12.5495
354.199,8.19923
354.703,8.63849
355.205,7.91975
355.71,12.6222
356.212,10.956
356.716,10.3427
357.218,9.72916
357.722,12.9053
358.224,8.29176
358.728,9.94156
359.23,10.1175
359.732,6.76717
360.236,8.5222
360.738,8.3824
361.242,8.76903
361.744,8.57655
362.248,8.70001
362.75,9.50754
363.252,7.31505
363.756,8.7543
364.257,7.61444
364.761,11.1589
365.263,7.75592
365.764,9.24768
366.268,7.00273
366.77,4.12601
367.271,10.2493
367.775,6.16223
368.276,5.60132
368.78,7.46161
369.281,4.00594
369.783,11.2871
370.286,9.25267
370.788,5.797
371.289,4.9203
371.79,7.72778
372.294,8.74596
372.795,7.97452
373.296,4.78198
373.799,4.69489
374.301,6.134
374.802,1.78352
375.305,7.17014
375.806,9.39864
376.307,3.83771
376.808,5.69783
377.311,6.0844
377.812,3.68132
378.313,8.54146
378.814,4.24365
379.317,3.05127
379.818,2.01662
380.319,5.29778
380.82,0
381.321,4.91267
381.823,6.66765
382.324,3.89619
382.825,5.49309
383.326,5.14267
383.826,2.9501
384.327,-0.0319061
384.83,4.24934
385.33,4.31996
385.831,3.54846
386.331,2.61906
386.832,2.32126
387.332,2.60236
387.835,5.93626
388.335,3.11211
388.836,3.34062
389.336,3.83224
389.836,3.11337
390.337,2.18398
390.837,3.62292
391.337,5.58829
391.837,3.23781
392.337,1.78209
392.84,-0.147217
393.34,5.18652
393.84,4.09918
394.34,2.11713
394.84,4.18771
395.34,2.1004
395.84,2.48674
396.34,4.66258
396.84,3.41736
397.34,2.01422
397.84,3.92688
398.34,3.89218
398.84,3.22589
399.34,2.77016
399.839,5.41963
400.339,5.7007
400.839,6.29758
401.339,2.36812
401.838,2.38603
402.338,6.03552
402.838,3.73766
403.337,0.808197
403.837,4.98396
404.336,4.89662
404.836,4.17769
405.335,5.19559
405.835,3.31876
406.332,1.44179
406.832,1.93335
407.331,4.16179
407.83,4.86386
408.33,3.14493
408.829,5.05751
409.328,1.81224
409.827,1.61963
410.327,5.00592
410.826,2.33957
411.323,3.83104
411.822,1.74362
412.321,4.28781
412.82,1.72676
413.319,3.00777
413.818,7.60458
414.315,3.51709
414.814,8.3244
415.313,3.50018
415.812,3.36012
416.311,6.11481
416.81,8.86952
417.307,5.51881
417.806,5.53667
418.304,4.87033
418.803,4.46713
419.3,6.22168
419.799,5.76584
420.297,5.31
420.796,2.22255
421.295,3.76675
421.791,7.31075
