Raman_Shift,Intensity
cm^-^1,a.u.
850.383,399.421
850.858,401.211
851.332,409.947
851.807,412.263
852.281,413.947
852.756,422.263
853.23,417.737
853.703,417.632
854.179,430.158
854.652,421.737
855.128,424.895
855.601,432.053
856.076,437.632
856.55,436.895
857.023,443.526
857.498,449
857.971,460.684
858.447,459.737
858.92,466.263
859.393,460.263
859.868,474.368
860.341,485.526
860.816,487.737
861.289,491.842
861.762,485.211
862.237,494.158
862.71,501.105
863.183,502.158
863.658,500.895
864.131,497.947
864.604,506.053
865.079,508.789
865.552,503.632
866.024,500.158
866.499,502.684
866.972,503.737
867.445,497.105
867.917,500.053
868.392,495.632
868.865,488.263
869.337,495.316
869.812,490.368
870.285,480.474
870.757,479.211
871.23,479.421
871.704,471.947
872.177,471.842
872.649,462.684
873.122,458.895
873.594,452.579
874.068,446.053
874.541,443.526
875.013,444.263
875.485,435.105
875.96,433.211
876.432,429.737
876.904,427.105
877.376,419.211
877.849,417
878.321,422.789
878.795,419
879.267,417.947
879.739,415.842
880.211,402.053
880.683,408.579
881.155,409.737
881.629,407.842
882.101,408.158
882.573,406.684
883.045,407.526
883.517,406.474
883.989,403
884.461,402.263
884.933,408.684
885.404,406.158
885.876,396.895
886.35,405.632
886.822,406.158
887.293,408.789
887.765,407.947
888.237,405.211
888.708,409.947
889.18,406.579
889.651,404.789
890.123,406.579
890.594,403.105
891.066,407.737
891.537,404.474
892.009,405.632
892.48,408.368
892.952,414.474
893.423,415.632
893.894,412.263
894.366,413.105
894.837,411
895.308,409.947
895.78,417.737
896.251,416.789
896.722,418.789
897.193,416.579
897.664,416.474
898.135,421.105
898.607,420.158
899.078,418.158
899.549,427.526
900.02,423.316
900.489,425.737
900.96,425.105
901.431,427.842
901.902,428.263
902.373,430.474
902.843,427.842
903.314,430.579
903.785,430.895
904.256,432.684
904.725,431.316
905.195,434.053
905.666,428.684
906.137,433.947
906.608,430.895
907.078,435
907.549,433.947
908.018,439.105
908.488,439.842
908.959,441.842
909.429,439
909.9,434.789
910.368,444.053
910.839,439.842
911.309,449.211
911.78,443.947
912.25,449.21
912.718,446.158
913.189,458.789
913.659,447.316
914.129,451.316
914.598,446.053
915.068,449.632
915.538,453.526
916.008,456.158
916.477,463.842
916.947,463.842
917.417,464.263
917.887,463.211
918.355,461.316
918.825,462.895
919.295,459.737
919.763,474.895
920.233,461.842
920.703,467.526
921.171,469.211
921.641,470.368
922.111,460.684
922.579,464.263
923.048,467.632
923.518,460.895
923.986,461.105
924.456,465.842
924.925,457.105
925.393,465.105
925.863,462.579
926.333,467.737
926.8,466.684
927.27,468.895
927.737,463.421
928.207,461.842
928.676,472.368
929.144,470.368
929.613,482.053
930.081,480.579
930.55,481.632
931.018,488.158
931.487,485.316
931.957,487.211
932.424,493.526
932.893,485.526
933.361,490.053
933.83,486.263
934.297,485.632
934.766,473.316
935.234,477.632
935.703,467.947
936.17,454.579
936.639,455
937.106,448.158
937.575,445.947
938.042,435.316
938.511,430.579
938.978,431.947
939.447,417.316
939.914,419.421
940.383,421.737
