Raman_Shift,Intensity
cm^-^1,a.u.
850.383,83.5455
850.858,82.2727
851.332,81.9091
851.807,81.1818
852.281,80.4545
852.756,81.7273
853.23,79
853.703,79.5454
854.179,82.6364
854.652,86.2727
855.128,82.6364
855.601,83.1818
856.076,87.3636
856.55,83
857.023,81.5455
857.498,84.8182
857.971,83.9091
858.447,86.4546
858.92,85.3636
859.393,78.6364
859.868,86.6364
860.341,87.9091
860.816,79.9091
861.289,82.0909
861.762,82.4545
862.237,84.0909
862.71,87.5454
863.183,85.5455
863.658,81.5455
864.131,81.7273
864.604,82.6364
865.079,86.0909
865.552,86.6364
866.024,78.4546
866.499,80.0909
866.972,84.2727
867.445,81.1818
867.917,79.1818
868.392,79.9091
868.865,82.4545
869.337,87.5455
869.812,81
870.285,82.8182
870.757,77.7273
871.23,78.8182
871.704,82.0909
872.177,80.8182
872.649,82.2727
873.122,82.4546
873.594,81
874.068,81
874.541,81
875.013,81.5454
875.485,80.2727
875.96,82.2727
876.432,82.6364
876.904,78.2727
877.376,79.9091
877.849,76.8182
878.321,79.7273
878.795,80.0909
879.267,78.4545
879.739,74.8182
880.211,77
880.683,74.0909
881.155,75
881.629,74.0909
882.101,72.8182
882.573,75.9091
883.045,77.1818
883.517,77
883.989,72.0909
884.461,69.3636
884.933,71.9091
885.404,72.2727
885.876,71.1818
886.35,73.7273
886.822,73.9091
887.293,76.0909
887.765,75.9091
888.237,73.3636
888.708,68.8182
889.18,73.9091
889.651,73.7273
890.123,75.1818
890.594,73.9091
891.066,75.9091
891.537,69.1818
892.009,71.1818
892.48,73.3636
892.952,76.6364
893.423,72.0909
893.894,75.7273
894.366,71.7273
894.837,72.0909
895.308,71.1818
895.78,72.6364
896.251,71.9091
896.722,72.0909
897.193,71.1818
897.664,69.7273
898.135,74.2727
898.607,74.4545
899.078,72.6364
899.549,75.9091
900.02,68.4545
900.489,76.2727
900.96,73.5455
901.431,71.3636
901.902,75.3636
902.373,74.6364
902.843,71.7273
903.314,74.8182
903.785,71.7273
904.256,72.6364
904.725,70.8182
905.195,75.5454
905.666,73.9091
906.137,75
906.608,75.3636
907.078,75.5455
907.549,69.3636
908.018,73.7273
908.488,71.9091
908.959,72.6364
909.429,71.1818
909.9,75.1818
910.368,71.5455
910.839,75.1818
911.309,73.1818
911.78,75.7273
912.25,69.1818
912.718,68.6364
913.189,74.8182
913.659,71.7273
914.129,71.3636
914.598,71.1818
915.068,73.3636
915.538,74.2727
916.008,72.0909
916.477,69.1818
916.947,72.8182
917.417,70.2727
917.887,72.4545
918.355,71.7273
918.825,69
919.295,71.9091
919.763,73.3636
920.233,71.3636
920.703,71.9091
921.171,72.6364
921.641,71.3636
922.111,71.9091
922.579,69.5455
923.048,73.3636
923.518,70.4545
923.986,71.5454
924.456,69.1818
924.925,72.8182
925.393,71.1818
925.863,73
926.333,73.9091
926.8,70.4545
927.27,73.1818
927.737,70.6364
