Raman_Shift,Intensity
cm^-^1,a.u.
50.3192,180.737
50.8445,175.786
51.372,169.362
51.8995,166.465
52.4248,161.199
52.9522,160.143
53.4774,155.193
54.0047,155.821
54.532,162.187
55.0572,159.289
55.5844,156.497
56.1116,163.336
56.6367,163.28
57.1639,171.593
57.6889,174.853
58.216,182.955
58.743,191.584
59.2679,203.634
59.7949,205.525
60.3198,204.68
60.8467,199.625
61.3715,200.885
61.8984,196.198
62.4253,199.826
62.95,201.613
63.4768,205.347
64.0014,208.028
64.5282,211.025
65.0527,216.759
65.5794,221.019
66.104,230.174
66.6306,234.645
67.155,241.589
67.6816,239.849
68.206,240.741
68.7325,242.37
69.2569,240.893
69.7833,249.1
70.3076,253.834
70.834,259.884
71.3582,249.46
71.8845,250.667
72.4087,239.875
72.935,235.609
73.4591,241.185
73.9832,242.129
74.5094,246.179
75.0334,247.65
75.5595,239.752
76.0835,226.17
76.6095,219.22
77.1334,203.585
77.6573,204.951
78.1833,206.105
78.7071,207.418
79.2309,211.205
79.7568,203.57
80.2805,210.146
80.8063,213.669
81.33,224.14
81.8536,233.19
82.3794,241.503
82.9029,245.658
83.4265,237.97
83.9521,228.441
84.4756,213.859
84.9991,212.014
85.5247,212.38
86.0481,210.534
86.5714,205.584
87.0969,202.476
87.6202,201.736
88.1435,201.891
88.6689,197.678
89.1921,205.885
89.7153,214.672
90.2385,215.3
90.7638,217.455
91.2869,218.557
91.81,208.712
92.333,203.762
92.8582,205.022
93.3811,201.282
93.9041,212.648
94.427,208.224
94.9521,205.221
95.475,199.586
95.9978,199.478
96.5206,195.685
97.0455,194.577
97.5683,196.785
98.091,196.624
98.6137,201.042
99.1364,201.197
99.6612,194.194
100.184,194.717
100.706,191.872
101.229,188.448
101.751,190.024
102.274,189.232
102.799,182.492
103.321,190.489
103.843,184.696
104.366,189.957
104.888,194.006
105.41,201.266
105.933,203.158
106.455,207.313
106.979,203.521
107.502,195.886
108.024,187.831
108.546,183.67
109.068,179.614
109.59,178.085
110.112,177.556
110.634,175.974
111.156,179.392
111.678,182.231
112.2,181.859
112.722,189.804
113.246,186.169
113.768,193.166
114.29,202.847
114.811,203.055
115.333,205.526
115.855,198.996
116.377,203.309
116.898,204.096
117.42,200.882
117.942,201.511
118.463,197.982
118.985,196.242
119.506,198.133
120.028,196.815
120.549,200.338
121.071,195.493
121.592,205.332
122.113,207.592
122.635,206.063
123.154,203.955
123.675,203.741
124.197,202.896
124.718,198.893
125.239,200.732
125.76,201.308
126.281,206.779
126.802,207.829
127.324,210.352
127.845,211.717
128.366,215.609
128.887,221.396
129.406,221.393
129.926,221.442
130.447,227.597
130.968,225.542
131.489,229.749
132.01,232.115
132.531,231.164
133.052,236.214
133.57,237.527
134.091,241.05
134.612,241.837
135.132,248.307
135.653,252.094
136.173,257.67
136.692,265.088
137.212,273.401
137.733,282.345
138.253,289.605
138.774,302.444
139.292,310.81
139.813,313.702
140.333,321.751
140.853,334.59
141.372,336.114
141.892,355.69
142.412,370.371
142.932,391.315
143.45,409.102
143.971,432.415
144.491,455.885
145.011,495.409
145.529,534.143
146.049,559.245
146.569,622.242
147.087,674.292
147.607,742.657
148.127,818.707
148.646,917.651
149.164,1045.44
149.684,1186.54
150.204,1371.85
150.722,1602.64
151.241,1876.48
151.761,2202.58
152.279,2584.42
152.798,2991.36
153.318,3404.05
153.835,3760.94
154.355,4013.83
154.872,4128.25
155.392,4040.72
155.911,3821.03
156.429,3475.92
156.948,3038.5
157.468,2632.39
157.985,2261.44
158.504,1924.96
159.022,1645.8
159.541,1412.59
160.058,1239.69
160.577,1081.85
161.096,968.474
161.613,853.314
162.133,776.574
162.65,695.097
163.169,647.41
163.686,581.459
164.205,542.667
164.722,513.612
165.241,483.187
165.757,452.184
166.276,427.076
166.793,408.336
167.312,386.649
167.829,370.33
168.347,354.327
168.864,347.43
169.383,338.637
169.9,325.424
170.418,316.263
170.935,301.786
171.453,295.941
171.97,296.412
172.488,280.988
173.005,280.459
173.523,272.35
174.04,267.926
174.556,264.608
175.075,262.762
175.591,253.233
176.109,252.283
176.625,245.175
177.144,245.277
177.66,241.274
178.176,241.692
178.694,239.005
179.21,231.581
179.726,230.894
180.245,226.996
180.761,227.624
181.279,220.937
181.795,223.408
182.311,222.616
182.829,215.455
183.344,214.504
183.86,217.396
184.378,212.604
184.894,211.864
185.41,212.177
185.927,207.279
186.443,205.644
186.959,204.062
187.474,204.481
187.992,199.32
188.508,196.843
189.023,199.84
189.541,197.1
190.056,198.624
190.572,191.831
191.087,195.618
191.605,190.509
192.12,196.401
192.635,190.398
193.151,192.764
193.668,188.919
194.183,191.705
194.699,193.702
195.214,189.91
195.729,188.538
196.246,192.535
196.761,187.216
197.277,187.74
197.792,186.368
198.307,189.944
198.824,188.362
199.339,188.623
199.854,189.199
200.369,187.459
200.883,186.929
201.398,189.084
201.915,188.397
202.43,188.289
202.945,191.286
203.46,186.704
203.974,190.648
204.489,191.698
205.004,190.169
205.518,186.745
206.033,189.373
206.549,190.844
207.064,188.157
207.579,192.049
208.093,192.519
208.607,191.569
209.122,193.461
209.636,194.089
210.151,191.402
210.665,191.083
211.179,195.554
211.694,192.446
212.208,194.653
212.722,195.756
213.236,198.069
213.751,196.066
214.265,196.01
214.779,199.954
215.293,203.162
215.807,197.633
216.321,199.524
216.835,197.732
217.349,196.939
217.863,197.937
218.377,199.355
218.891,197.036
219.405,202.349
219.918,197.504
220.432,198.343
220.946,196.129
221.46,203.074
221.973,199.123
222.487,201.489
223.001,204.644
223.514,203.377
224.028,202.953
224.542,202.845
225.053,201.579
225.567,204.155
226.08,204.942
226.593,209.886
227.107,208.936
227.62,205.985
228.134,210.403
228.647,211.137
229.16,211.555
229.672,210.658
230.185,212.181
230.698,219.809
231.211,216.175
231.724,218.277
232.238,222.432
232.749,226.271
233.262,230.321
233.775,227.318
234.288,229.157
234.801,233.944
235.312,228.888
235.825,238.78
236.338,231.356
236.85,239.195
237.363,242.139
237.874,243.82
238.387,243.239
238.9,246.762
239.412,246.917
239.923,248.651
240.436,249.858
240.948,262.961
241.461,256.484
241.972,265.323
242.484,269.109
242.997,270.633
243.507,276.051
244.02,276.679
244.532,283.045
245.045,288.516
245.555,289.46
246.067,295.72
246.58,292.823
247.09,305.556
247.602,309.395
248.114,321.129
248.625,324.705
249.137,330.123
249.647,336.699
250.159,337.381
250.671,348.009
251.181,354.69
251.693,365.109
252.205,370
252.715,379.208
253.227,390.468
253.737,402.254
254.249,410.988
254.761,422.406
255.271,439.667
255.783,451.979
256.292,468.766
256.804,474.184
257.314,498.076
257.825,503.336
258.337,522.228
258.847,540.067
259.358,560.274
259.868,578.956
260.379,603.005
260.889,616.16
261.401,629.105
261.91,663.523
262.421,687.73
262.931,709.99
263.442,734.882
263.951,770.3
264.463,799.034
264.972,830.136
265.483,858.028
265.993,903.552
266.504,938.654
267.013,982.861
267.524,1037.6
268.033,1084.86
268.542,1152.59
269.053,1217.32
269.562,1288.58
270.074,1357.21
270.582,1436.79
271.093,1516.63
271.602,1623.52
272.111,1736.04
272.622,1862.57
273.131,2010.72
273.642,2159.72
274.151,2343.24
274.659,2536.24
275.17,2757.13
275.679,3023.76
276.187,3325.02
276.698,3644.8
277.207,4006.64
277.717,4433.9
278.226,4865.48
278.734,5313.32
279.245,5754
279.753,6197.58
280.262,6575.21
280.77,6850.41
281.28,7023.88
281.789,7063.51
282.297,6960.3
282.807,6669.09
283.316,6306.87
283.824,5851.66
284.332,5354.5
284.842,4850.28
285.35,4341.12
285.858,3892.44
286.369,3490.49
286.877,3098.22
287.385,2760.27
287.893,2476.95
288.401,2238.1
288.911,2033.1
289.419,1836.63
289.926,1672.67
290.434,1519.3
290.944,1398.14
291.452,1303.98
291.96,1192.29
292.467,1114.55
292.975,1027.55
293.483,959.864
293.993,906.283
294.5,848.543
295.008,789.54
295.515,749.642
296.023,699.165
296.53,672.215
297.04,646.791
297.548,605.104
298.055,588.101
298.562,571.045
299.07,534.042
299.577,515.934
300.084,504.615
300.592,480.244
301.099,464.03
301.606,445.922
302.115,432.182
302.623,425.548
303.13,411.071
303.637,393.121
304.144,385.276
304.651,375.852
305.158,362.27
305.665,350.372
306.172,349.685
306.679,340.892
307.186,334.574
307.693,330.15
308.2,322.568
308.707,305.302
309.213,305.825
309.72,296.296
310.227,289.029
310.734,286.395
311.24,281.497
311.747,275.494
312.254,273.333
312.76,263.857
313.267,262.012
313.774,257.219
314.28,251.479
314.787,252.161
315.293,248.315
315.8,249.102
316.306,242.625
316.81,241.149
317.317,235.935
317.823,232.985
318.329,230.14
318.836,231.979
319.342,224.397
319.848,225.447
320.354,218.601
320.861,219.862
321.367,215.543
321.871,215.961
322.377,214.169
322.883,210.902
323.389,209.478
323.895,204.791
324.401,203.999
324.905,201.733
325.411,201.309
325.917,203.095
326.422,204.145
326.928,196.721
327.434,192.981
327.938,197.399
328.444,188.607
328.949,194.025
329.455,186.601
329.959,188.808
330.464,186.331
330.97,184.802
331.476,181.326
331.981,184.901
332.485,181.793
332.99,181.843
333.496,184.156
333.999,177.416
334.504,177.15
335.01,176.147
335.515,176.565
336.018,176.72
336.524,173.822
337.029,172.609
337.532,172.448
338.037,173.445
338.543,170.179
339.048,169.755
339.551,168.436
340.056,168.801
340.561,163.746
341.064,170.269
341.569,166.529
342.072,167.737
342.577,167.102
343.082,162.941
343.585,169.307
344.09,164.462
344.595,162.932
345.098,163.456
345.602,163.032
346.105,162.66
346.61,163.447
347.115,159.97
347.617,161.388
348.122,152.333
348.624,162.224
349.129,159.695
349.632,164.376
350.136,162.847
350.641,162.897
351.143,158.209
351.648,162.364
352.15,157.73
352.655,156.358
353.157,162.566
353.661,162.037
354.164,158.455
354.668,161.61
355.17,159.607
355.674,159.077
356.176,159.443
356.681,156.966
357.183,157.437
357.687,156.75
358.189,153.22
358.693,153.375
359.195,155.214
359.697,156.738
360.201,155.156
360.703,156.258
361.207,154.36
361.709,155.357
362.213,155.565
362.715,154.93
363.216,153.085
363.72,156.503
364.222,150.553
364.726,148.129
365.227,150.968
365.729,149.702
366.233,146.752
366.734,150.854
367.236,147.535
367.74,147.48
368.241,152.056
368.745,149
369.246,148.208
369.748,148.415
370.251,146.675
370.752,148.093
371.254,152.038
371.755,148.666
372.258,147.611
372.76,147.397
373.261,148.236
373.764,147.76
374.265,148.125
374.767,149.175
375.27,149.751
375.771,148.011
376.272,146.798
376.773,146.058
377.276,145.739
377.777,144.473
378.278,144.417
378.779,141.362
379.282,142.359
379.783,145.566
380.284,139.616
380.785,144.455
381.285,145.189
381.788,141.607
382.289,144.92
382.79,138.969
383.29,142.44
383.791,139.7
384.292,139.908
384.794,134.642
385.295,139.27
385.796,137.425
386.296,139.475
386.797,132.946
387.297,136.258
387.8,135.097
388.3,137.252
388.8,135.513
389.301,136.562
389.801,134.033
390.301,136.293
390.802,134.659
391.302,132.235
391.802,137.074
392.302,133.018
392.805,136.12
393.305,131.433
393.805,131.746
394.305,128.954
394.805,132.477
395.305,128.79
395.805,134.313
396.305,130.468
396.805,129.991
397.305,131.199
397.805,132.038
398.305,132.403
398.805,129.979
399.304,131.924
399.804,131.342
400.304,130.234
400.804,130.389
401.303,130.807
401.803,124.488
402.303,130.064
402.802,128.587
403.302,132.11
403.802,131.897
404.301,127.789
404.801,129.681
405.3,128.046
405.8,129.306
406.297,130.145
406.796,129.721
407.296,129.771
407.795,128.505
408.295,129.028
408.794,128.13
409.293,127.443
409.792,128.44
410.292,127.7
410.791,125.276
411.288,125.905
411.787,128.797
412.286,127.583
412.785,130.791
413.284,126.209
413.783,125.153
414.282,127.677
414.779,128.305
415.278,126.197
415.777,128.615
416.276,128.559
416.775,130.241
417.272,130.185
417.771,126.972
418.269,130.758
418.768,129.492
419.267,129.463
419.764,127.486
420.262,127.536
420.761,126.691
421.26,124.319
421.756,123.895
422.255,128.313
422.753,127.837
423.252,126.57
423.748,129.831
424.247,127.249
424.745,128.456
425.241,125.716
425.74,126.713
426.238,128.605
426.734,128.971
427.233,125.073
427.731,125.438
428.229,125.909
428.725,126.38
429.224,124.061
429.722,126.426
430.218,126.213
430.716,127.052
431.212,125.786
431.71,124.941
432.208,124.569
432.704,128.83
433.202,126.353
433.7,126.455
434.196,129.031
434.694,127.712
435.19,127.499
435.688,125.549
436.185,124.177
436.681,124.701
437.179,125.698
437.674,125.063
438.172,125.007
438.668,123.899
439.165,125.212
439.661,122.262
440.159,125.943
440.656,123.782
441.152,124.621
441.649,123.934
442.145,124.773
442.642,127.717
443.138,124.872
443.635,122.922
444.13,123.656
444.628,124.969
445.123,124.65
445.618,125.436
446.116,124.486
446.611,124.852
447.108,122.27
447.603,124.214
448.1,124.053
448.595,123.682
449.092,122.468
449.588,119.571
450.085,122.252
450.58,124.038
451.075,122.088
451.572,124.401
452.066,123.661
452.563,120.342
453.058,121.55
453.553,123.652
454.05,123.175
454.545,119.225
455.039,122.485
455.536,120.061
456.031,119.953
456.526,119.582
457.022,122.631
457.517,119.681
458.011,122.467
458.508,117.57
459.003,120.409
459.497,120.406
459.994,122.613
460.488,118.716
460.983,120.239
461.479,122.71
461.973,120.286
462.468,118.23
462.962,116.49
463.458,117.856
463.953,117.221
464.447,120.06
464.943,118.794
465.437,119.633
465.931,115.999
466.426,118.259
466.92,119.098
467.416,119.306
467.91,116.882
468.404,119.931
468.898,119.244
469.392,119.557
469.888,117.817
470.382,119.13
470.876,118.127
471.37,120.492
471.863,118.752
472.359,115.486
472.853,118.483
473.347,120.954
473.841,118.214
474.334,118.053
474.828,120.84
475.322,117.363
475.817,117.623
476.311,119.989
476.804,117.196
477.298,117.141
477.792,116.296
478.285,112.398
478.778,116.553
479.272,118.181
479.765,116.126
480.259,116.965
480.752,113.699
481.247,118.012
481.741,116.693
482.234,116.69
482.727,113.95
483.221,116.789
483.714,118.26
484.207,116.889
484.7,115.991
485.193,113.567
485.686,116.195
486.179,118.087
486.672,117.611
487.165,116.45
487.658,116.341
488.151,115.286
488.644,118.809
489.137,113.964
489.63,114.014
490.123,118.116
490.616,116.587
491.106,115.373
491.599,115.37
492.092,117.209
492.585,120.364
493.077,117.098
493.57,118.306
494.063,114.776
494.555,118.984
495.048,117.77
495.541,116.189
496.033,117.396
496.524,117.867
497.016,119.811
497.508,118.177
498.001,117.858
498.493,115.118
498.986,120.747
499.478,119.533
499.968,118.951
500.461,116.527
500.953,114.735
501.445,121.837
501.937,120.676
502.43,119.2
502.92,119.407
503.412,117.141
503.904,121.77
504.396,117.872
504.888,117.658
505.378,121.813
505.87,118.073
506.362,119.439
506.854,117.699
507.344,117.854
507.836,118.64
508.328,119.953
508.82,120.424
509.309,120.263
509.801,121.313
510.293,117.994
510.783,117.675
511.274,122.199
511.766,120.775
512.258,115.719
512.747,116.4
513.239,120.976
513.73,119.447
514.22,120.339
514.711,122.651
515.203,120.333
515.692,123.014
516.184,120.949
516.675,119.512
517.165,119.204
517.656,120.925
518.145,118.237
518.637,120.175
519.128,120.025
519.617,118.478
520.108,116.988
520.598,119.233
521.089,117.343
521.58,121.696
522.069,121.578
522.56,119.274
523.049,122.457
523.54,119.481
524.029,120.663
524.52,120.578
525.011,117.957
525.5,120.25
525.991,119.158
526.48,119.278
526.971,117.964
527.46,121.178
527.951,119.4
528.439,118.402
528.93,119.878
529.419,118.453
529.909,119.338
530.398,117.097
530.889,118.991
531.377,118.692
531.868,120.17
532.357,119.12
532.845,117.635
533.336,117.181
533.824,118.798
534.315,115.024
534.803,116.808
535.293,117.869
535.782,118.238
536.27,120.771
536.76,117.157
537.249,117.723
537.739,117.471
538.227,116.438
538.715,120.344
539.206,120.475
539.694,116.465
540.182,118.287
540.672,118.13
541.16,116.12
541.648,114.746
542.138,114.935
542.626,116.906
