Raman_Shift,Intensity
cm^-^1,a.u.
50.3599,281.15
50.8853,279.856
51.4128,284.962
51.9402,289.518
52.4655,296.774
52.9929,300.38
53.5203,308.236
54.0455,312.491
54.5728,327.697
55.0979,337.453
55.6251,352.359
56.1524,370.315
56.6774,383.221
57.2046,410.827
57.7296,424.683
58.2567,457.589
58.7837,480.895
59.3086,502.55
59.8356,515.806
60.3605,527.362
60.8874,542.068
61.4144,561.474
61.9391,577.33
62.466,598.186
62.9907,611.642
63.5175,627.348
64.0421,647.254
64.5688,668.16
65.0934,682.366
65.6201,706.171
66.1446,737.127
66.6712,744.883
67.1957,777.089
67.7223,787.595
68.2467,812.251
68.7732,820.007
69.2975,867.163
69.824,890.369
70.3483,942.475
70.8746,1022.03
71.3989,1121.64
71.9252,1290.74
72.4494,1469.8
72.9756,1581.6
73.4997,1518.86
74.0238,1421.82
74.55,1335.07
75.074,1329.58
75.6001,1436.53
76.1241,1601.54
76.6502,1741.7
77.1741,1722.55
77.6979,1549.01
78.2239,1339.51
78.7477,1182.17
79.2736,1067.73
79.7974,1025.18
80.3211,991.287
80.8469,978.293
81.3706,975.049
81.8942,987.555
82.42,994.861
82.9436,987.616
83.4671,996.572
83.9927,1015.58
84.5162,1046.48
85.0397,1103.04
85.5653,1179.75
86.0887,1302.2
86.612,1491.51
87.1375,1738.46
87.6608,2006.47
88.1841,2140.68
88.7095,2090.38
89.2327,1889.19
89.7559,1644.79
90.2812,1421.55
90.8043,1282.61
91.3274,1166.66
91.8505,1094.82
92.3757,1065.97
92.8987,1046.63
93.4217,1033.73
93.9447,1031.39
94.4697,1016.45
94.9926,1022.8
95.5155,1038.01
96.0383,1071.11
96.5612,1116.72
97.0861,1160.83
97.6088,1200.28
98.1316,1191.89
98.6543,1158.34
99.1769,1105.05
99.7017,1047.21
100.224,1016.16
100.747,988.668
101.269,962.173
101.792,950.829
102.314,946.835
102.839,939.641
103.361,938.147
103.884,938.903
104.406,927.509
104.929,942.415
105.451,936.871
105.973,946.977
106.498,946.083
107.02,949.589
107.542,933.844
108.064,936.1
108.586,933.706
109.108,937.862
109.631,938.418
110.153,940.874
110.675,950.43
111.197,942.636
111.719,952.042
112.241,956.148
112.765,968.554
113.286,975.21
113.808,976.315
114.33,984.071
114.852,990.127
115.374,999.983
115.895,1007.09
116.417,1016.95
116.939,1026.95
117.46,1029.11
117.982,1042.36
118.504,1050.12
119.025,1077.32
119.547,1096.78
120.068,1106.74
120.59,1133.49
121.111,1144.5
121.633,1170.1
122.154,1210.96
122.675,1247.02
123.197,1268.07
123.716,1310.08
124.237,1350.28
124.758,1394.44
125.279,1467.95
125.801,1532.6
126.322,1617.71
126.843,1710.46
127.364,1834.57
127.885,1976.38
128.406,2134.58
128.927,2318.39
129.448,2551.19
129.967,2829.25
130.488,3137.5
131.009,3533.96
131.53,3938.17
132.05,4417.82
132.571,4834.13
133.092,5262.43
133.611,5509.89
