raman_shift, int
cm^-1, a.u.
850.38,77.182
850.86,77.182
851.33,73.364
851.81,74.636
852.28,77
852.76,75.182
853.23,77
853.7,78.636
854.18,72.091
854.65,73.364
855.13,79.364
855.6,77
856.08,74.273
856.55,78.818
857.02,77.909
857.5,76.273
857.97,71.727
858.45,76.818
858.92,73.727
859.39,74.455
859.87,77
860.34,76.091
860.82,77.182
861.29,77.727
861.76,77.182
862.24,73.546
862.71,76.091
863.18,76.455
863.66,73.546
864.13,77.182
864.6,74.455
865.08,80.273
865.55,71.909
866.02,76.454
866.5,79.909
866.97,75.546
867.45,80.636
867.92,78.818
868.39,76.273
868.87,78.818
869.34,77
869.81,77.909
870.28,76.818
870.76,77.364
871.23,78.091
871.7,76.091
872.18,76.091
872.65,76.091
873.12,78.636
873.59,76.636
874.07,78.636
874.54,77.182
875.01,77.909
875.49,80.273
875.96,76.454
876.43,75.182
876.9,77.909
877.38,75.546
877.85,73.727
878.32,70.636
878.79,71.364
879.27,71.727
879.74,77.364
880.21,70.273
880.68,72.273
881.15,70.818
881.63,68.636
882.1,73
882.57,71
883.04,73.364
883.52,73.909
883.99,70.818
884.46,67.546
884.93,69.546
885.4,69
885.88,70.454
886.35,68.273
886.82,71.546
887.29,66.273
887.76,69.364
888.24,72.273
888.71,71.909
889.18,67.909
889.65,69.182
890.12,71
890.59,69
891.07,65.364
891.54,67.182
892.01,70.818
892.48,68.455
892.95,70.273
893.42,69.727
893.89,71
894.37,71
894.84,65.727
895.31,65.364
895.78,70.273
896.25,71.909
896.72,72.455
897.19,73.546
897.66,72.091
898.13,65.727
898.61,67.364
899.08,67.727
899.55,69.727
900.02,71.364
900.49,69.364
900.96,67.545
901.43,68.454
901.9,72.636
902.37,73.364
902.84,68.273
903.31,71.364
903.78,74.091
904.26,71.909
904.73,69.546
905.2,71.545
905.67,72.818
906.14,69.545
906.61,71
907.08,69.182
907.55,73
908.02,71.364
908.49,74.636
908.96,70.818
909.43,71.364
909.9,74.818
910.37,71.727
910.84,71.182
911.31,72.818
911.78,69.364
912.25,68.454
912.72,68.454
913.19,74.273
913.66,70.454
914.13,67.727
914.6,69.182
915.07,69.182
915.54,70.273
916.01,70.091
916.48,70.091
916.95,69.546
917.42,70.818
917.89,69.909
918.36,73.545
918.83,62.818
919.29,75.546
919.76,68.636
920.23,72.636
920.7,73.909
921.17,71
921.64,73
922.11,71.364
922.58,67.545
923.05,65.545
923.52,69.182
923.99,76.818
924.46,73.546
924.92,69.546
925.39,71.364
925.86,67.364
926.33,70.091
926.8,67
927.27,66.818
927.74,65.909
928.21,70.636
928.68,69.909
929.14,67.364
929.61,69
930.08,68.455
930.55,69
931.02,72.636
931.49,70.818
931.96,70.818
932.42,67.727
932.89,66.818
933.36,66.454
933.83,66.273
934.3,65.909
934.77,65.546
935.23,69.545
935.7,66.636
936.17,64.454
936.64,68.091
937.11,62.455
937.58,65.727
938.04,66.091
938.51,63
938.98,66.091
939.45,67.182
939.91,64.091
940.38,67
940.85,70.455
941.32,66.818
941.79,64.455
942.25,63.909
942.72,67.364
943.19,63.182
943.66,63.182
944.12,60.091
944.59,66.636
945.06,65
945.53,67
946,65
946.46,67.727
946.93,63.727
947.4,60.636
947.86,68.273
948.33,62.091
948.8,64.273
949.26,64.455
949.73,63.909
950.2,63.909
950.67,63
951.13,66.273
951.6,62.455
952.07,61.727
952.53,65
953,62.091
953.47,63.545
953.93,63.364
954.4,67.182
954.87,63.364
955.33,62.273
955.8,66.636
956.27,59.909
956.74,59
957.2,61.364
957.67,61.545
958.13,62.636
958.6,63.909
959.07,63.364
959.53,62.818
960,62.636
960.47,62.455
960.93,61.909
961.4,63
961.87,62.636
962.33,60.636
962.8,58.091
963.26,60.091
963.73,62.455
964.2,62.273
964.66,59.545
965.13,60.636
965.59,59.909
966.06,62.455
966.52,59.727
966.99,57.909
967.46,61.727
967.92,62.091
968.39,61.545
968.86,59.364
969.32,61.545
969.78,58.636
970.25,60.636
970.72,60.455
971.18,58.818
971.65,62.818
972.11,60.273
972.58,62.818
973.04,61
973.51,60.091
973.98,57.364
974.44,61.545
974.9,61.909
975.37,59.182
975.84,58.273
976.3,56.273
976.77,59.182
977.23,59.364
977.7,62.091
978.16,58.636
978.63,56.091
979.09,60.636
979.56,56.818
980.02,59.182
980.49,63.727
980.95,59
981.41,57.727
981.88,61.364
982.35,60.455
982.81,60.455
983.27,57.545
983.74,56.455
984.2,58.273
984.67,59.909
985.13,56.273
985.6,57.545
986.06,57.727
986.52,61.727
986.99,57
987.45,52.818
987.92,57.909
988.38,63.545
988.85,59
989.31,61.727
989.78,60.455
990.24,57.727
990.7,57.182
991.17,57.182
991.63,58.273
992.1,61.727
992.56,59.182
993.02,63.364
993.49,60.273
993.95,56.636
994.41,58.818
994.88,58.818
995.34,55.727
995.8,59.545
996.27,60.455
996.73,59.182
997.2,58.455
997.66,55.727
998.12,61.182
998.59,59.364
999.05,61.909
999.51,56.636
999.98,62.818
1000.4,59.727
1000.9,59.909
1001.4,62.273
1001.8,59
1002.3,63.545
1002.8,63.182
1003.2,61.727
1003.7,63.364
1004.1,61
1004.6,65
1005.1,65
1005.5,62.636
1006,62.455
1006.5,67.546
1006.9,65.182
1007.4,65
1007.9,64.818
1008.3,61.182
1008.8,65
1009.2,63.545
1009.7,65.182
1010.2,66.273
1010.6,63.727
1011.1,68.454
1011.5,69.727
1012,68.273
1012.5,69.545
1012.9,66.818
1013.4,67
1013.9,67
1014.3,66.091
1014.8,67.546
1015.2,65
1015.7,67.182
1016.2,68.273
1016.6,68.454
1017.1,70.091
1017.6,71.545
1018,67.182
1018.5,69.727
1018.9,68.818
1019.4,70.273
1019.9,71.727
1020.3,71.182
1020.8,70.091
1021.2,69.727
1021.7,67.727
1022.2,69.727
1022.6,67.364
1023.1,70.273
1023.6,73.909
1024,73.909
1024.5,69
1025,64.091
1025.4,68.818
1025.9,69.182
1026.3,67
1026.8,71.545
1027.2,73
1027.7,68.818
1028.2,67.909
1028.6,74.091
1029.1,72.091
1029.6,71.364
1030,73.364
1030.5,71.364
1030.9,72.454
1031.4,73.909
1031.9,71.545
1032.3,80.454
1032.8,76.636
1033.2,79.909
1033.7,81.364
1034.2,78.273
1034.6,73.727
1035.1,80.818
1035.5,80.091
1036,75.182
1036.5,74.818
1036.9,77.364
1037.4,81.727
1037.8,81.727
1038.3,77.364
1038.8,77.182
1039.2,77.909
1039.7,78.636
1040.2,75.182
1040.6,74.091
1041.1,79
1041.5,76.636
1042,72.273
1042.5,75
1042.9,75.727
1043.4,70.091
1043.8,75.546
1044.3,75.364
1044.8,75.364
1045.2,78.454
1045.7,74.455
1046.1,75.545
1046.6,73.364
1047.1,73.182
1047.5,76.454
1048,73
1048.4,73.546
1048.9,77.909
1049.4,75.909
1049.8,80.636
1050.3,84.636
1050.7,88.091
1051.2,88.454
1051.7,91.909
1052.1,97.545
1052.6,98.818
1053,104.82
1053.5,106.09
1054,114.64
1054.4,119.55
1054.9,130.64
1055.3,135.54
1055.8,153.18
1056.2,159.73
1056.7,175.73
1057.2,195.54
1057.6,218.09
1058.1,237.18
1058.5,266.09
1059,289.73
1059.5,322.64
1059.9,335.73
1060.4,341.55
1060.8,347.91
1061.3,337.18
1061.8,329.18
1062.2,314.45
1062.7,311
1063.1,306.64
1063.6,304.09
1064,301.73
1064.5,305.55
1065,304.82
1065.4,317.73
1065.9,317.18
1066.3,334.82
1066.8,341
1067.2,349.36
1067.7,356.64
1068.2,372.27
1068.6,370.64
1069.1,386.45
1069.5,400.09
1070,411.91
1070.5,422.09
1070.9,441
1071.4,442.64
1071.8,454.27
1072.3,471
1072.8,457
1073.2,486.64
1073.7,500.64
1074.1,507.18
1074.6,516.09
1075,524.09
1075.5,523.73
1076,537.91
1076.4,529.36
1076.9,546.09
1077.3,546.46
1077.8,552.82
1078.2,564.64
1078.7,572.64
1079.2,568.46
1079.6,571
1080.1,571.18
1080.5,572.64
1081,573.91
1081.4,582.27
1081.9,572.46
1082.4,569.54
1082.8,561
1083.3,573
1083.7,574.09
1084.2,554.46
1084.6,559.18
1085.1,555.36
1085.6,547.18
1086,532.27
1086.5,528.82
1086.9,508.64
1087.4,498.27
1087.8,495.18
1088.3,470.64
1088.8,456.64
1089.2,434.45
1089.7,417.36
1090.1,395.91
1090.6,373.36
1091,361.55
1091.5,329.55
1092,317.73
1092.4,287.73
1092.9,273.73
1093.3,262.27
1093.8,240.27
1094.2,225.54
1094.7,203.91
1095.1,190.27
1095.6,181.91
1096.1,161.73
1096.5,148.82
1097,139.73
1097.4,119.73
1097.9,111.18
1098.3,112.09
1098.8,103.36
1099.2,94.091
1099.7,88.818
1100.2,82.636
1100.6,80.454
1101.1,76.818
1101.5,73.727
1102,73.909
1102.4,66.091
1102.9,66.273
1103.3,64.818
1103.8,56.455
1104.3,58.091
1104.7,56.818
1105.2,58.636
1105.6,51.182
1106.1,55.545
1106.5,55.727
1107,57.364
1107.5,56.636
1107.9,55.727
1108.4,53.182
1108.8,55.727
1109.3,52.818
1109.7,53.182
1110.2,50.818
1110.6,56.818
1111.1,53.909
1111.5,53.364
1112,54.818
1112.5,51
1112.9,51.182
1113.4,45.364
1113.8,50.818
1114.3,47.545
1114.7,53.364
1115.2,49.182
1115.6,51.182
1116.1,52.091
1116.5,49.909
1117,53.364
1117.5,49.364
1117.9,49.909
1118.4,52.091
1118.8,51
1119.3,47.727
1119.7,47.909
1120.2,49.364
1120.6,50.273
1121.1,49.545
1121.5,49.727
1122,47.364
1122.5,49.364
1122.9,51
1123.4,51.727
1123.8,47.727
1124.3,46.818
1124.7,49.727
1125.2,49
1125.6,49.909
1126.1,48.273
1126.5,49.182
1127,48.636
1127.4,48.818
1127.9,47.545
1128.3,48.818
1128.8,49.364
1129.3,45.909
1129.7,47.364
1130.2,46.091
1130.6,47.182
1131.1,50.273
1131.5,52.636
1132,44.455
1132.4,47.909
1132.9,48.818
1133.3,48.636
1133.8,51.727
1134.2,47.545
1134.7,48.273
1135.2,46.273
1135.6,49.545
1136.1,45.364
1136.5,43.545
1137,45.182
1137.4,45.727
1137.9,41.364
1138.3,47.364
1138.8,43
1139.2,42.091
1139.7,45.909
1140.1,44.818
1140.6,45.909
1141,48.455
1141.5,49.545
1142,45.364
1142.4,47.727
1142.8,47.364
1143.3,44.818
1143.8,49.364
1144.2,45.545
1144.7,41
1145.1,49.545
1145.6,45.545
1146,47.182
1146.5,46.091
1146.9,45.909
1147.4,44.091
1147.8,45
1148.3,45.909
1148.7,47
1149.2,45
1149.6,46.091
1150.1,41
1150.5,48.636
1151,46.273
1151.4,46.455
1151.9,45.909
1152.3,46.273
1152.8,46.636
1153.2,43.909
1153.7,43.182
1154.2,44.091
1154.6,44.818
1155.1,47
1155.5,42.091
1156,46.091
1156.4,44.455
1156.9,45.364
1157.3,42.818
1157.8,46.455
1158.2,44.818
1158.7,44.636
1159.1,44.273
1159.6,43.182
1160,48.091
1160.5,44.091
1160.9,45.727
1161.4,44.091
1161.8,41.545
1162.3,42.636
1162.7,44.091
1163.2,46.818
1163.6,42.636
1164.1,42.091
1164.5,45.545
1165,41.727
1165.4,42.636
1165.9,46.636
1166.3,42.818
1166.8,44.818
1167.2,45.182
1167.7,44.091
1168.1,43.909
1168.6,41.364
1169,44.273
1169.5,41.545
1169.9,44.091
1170.4,45.727
1170.8,40.455
1171.3,41.545
1171.7,40.818
1172.2,43.727
1172.6,44.455
1173.1,45.364
1173.5,41
1174,43.545
1174.5,44.273
1174.9,44.091
1175.3,43.545
1175.8,43.545
1176.2,42.818
1176.7,44.455
1177.2,43
1177.6,41.545
1178,43.182
1178.5,43.727
1179,42.273
1179.4,39.364
1179.8,40.455
1180.3,43.727
1180.8,41.182
1181.2,42.273
1181.6,40.273
1182.1,43.364
1182.5,41.182
1183,42.091
1183.4,40.636
1183.9,40.273
1184.3,43
1184.8,41
1185.2,39.545
1185.7,42.636
