t_event, cens, freq
h, , 
5.9167,0,1
6,0,1
6,0,1
7.1667,0,1
7.25,0,1
7.25,0,1
7.3333,0,1
7.3333,0,1
7.5,0,1
7.5833,0,1
7.6667,0,1
7.6667,0,1
7.6667,0,1
7.75,0,1
7.75,0,1
7.75,0,1
7.9167,0,1
7.9167,0,1
7.9167,0,1
8,0,1
8,0,1
8.0833,0,1
8.3333,0,1
8.4167,0,1
8.5,0,1
8.5833,0,1
8.6667,0,1
8.8333,0,1
8.9167,0,1
9.1667,0,1
9.1667,0,1
9.1667,0,1
9.25,0,1
9.25,0,1
9.5,0,1
9.5833,0,1
9.5833,0,1
9.8333,0,1
9.8333,0,1
10,0,1
10.25,0,1
10.417,0,1
10.5,0,1
10.667,0,1
10.833,0,1
10.833,0,1
10.833,0,1
10.917,0,1
11.417,0,1
11.75,0,1
11.75,0,1
11.917,0,1
12,0,1
12.083,0,1
12.25,0,1
12.5,0,1
13.083,0,1
13.25,0,1
13.75,0,1
13.833,0,1
13.917,0,1
14.5,0,1
15.417,0,1
16,0,1
19.333,0,1
20.083,0,1
20.417,0,1
20.583,0,1
24.75,0,1
25.083,0,1
42.917,0,1
42.917,1,17
