t_event, cens, freq
h, , 
1.7083,0,1
1.75,0,1
1.75,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.7917,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.875,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9167,0,1
1.9583,0,1
1.9583,0,1
1.9583,0,1
1.9583,0,1
1.9583,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2.0417,0,1
