t_event, cens, freq
h, , 
1.7167,0,1
1.7167,0,1
1.7167,0,1
1.7167,0,1
1.7333,0,1
1.7333,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.75,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7667,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.7833,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8167,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.8333,0,1
1.85,0,1
1.85,0,1
1.85,0,1
1.85,0,1
1.85,0,1
1.85,0,1
1.8667,0,1
1.8667,0,1
1.8667,0,1
1.8833,0,1
1.8833,0,1
1.8833,0,1
1.8833,0,1
1.9,0,1
1.9167,0,1
1.9167,0,1
1.9333,0,1
1.95,0,1
1.9833,0,1
2.0333,0,1
2.0667,0,1
2.1,0,1
