t_event, cens, freq
h, , 
1.3667,0,1
1.3667,0,1
1.3833,0,1
1.3833,0,1
1.4,0,1
1.4,0,1
1.4,0,1
1.4,0,1
1.4167,0,1
1.4167,0,1
1.4167,0,1
1.4167,0,1
1.4167,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.4333,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.45,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4667,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.4833,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5,0,1
1.5167,0,1
1.5167,0,1
1.5167,0,1
